source_of_truth,web_feature_id,workspace,как_найти_через_поиск_команд,название_функции,новое_место,сохранена_полностью,старое_место,статус_миграции,улучшения
Реестр параметров и data contract,WEB-001,WS-INPUTS,поиск: параметры подвески / диапазоны оптимизации / жёсткость / цилиндр,Редактирование параметров подвески и диапазонов оптимизации,Рабочее пространство «Исходные данные»,True,Главная страница и таблица параметров web-приложения,обязательно,"Одновременный числовой и графический вид, правый инспектор, явная help-панель."
Data contract и registry флагов,WEB-002,WS-INPUTS,поиск: режимы / флаги / асимметрия / degraded,Режимы и флаги,Левое дерево → раздел «Режимы и флаги» внутри «Исходные данные»,True,Отдельный блок флагов в web UI,обязательно,"Явное разделение числовых и логических параметров, объяснимость через help."
Редактор кольца,WEB-003,WS-RING,поиск: редактор кольца / сценарий / профиль дороги / сегмент,Редактор кольца и генератор дорожного сценария,Рабочее пространство «Редактор кольца и сценариев»,True,Генератор сценария и связанная форма web UI,обязательно,"Единый канон сегментов, план кольца, продольный профиль, поперечный уклон, seam diagnostics."
Suite JSON и таблица испытаний,WEB-004,WS-SUITE,поиск: испытания / suite / матрица испытаний,Матрица испытаний,Рабочее пространство «Матрица испытаний»,True,Suite editor и таблица тестов,обязательно,"Связь с кольцом, валидация sidecar-файлов, preview и добавление в pipeline без скрытых маршрутов."
baseline_best.json и run artifacts,WEB-005,WS-BASELINE,поиск: baseline / базовый прогон / принять baseline,Baseline,Рабочее пространство «Базовый прогон»,True,Baseline controls в главной оптимизационной поверхности,обязательно,"Явный baseline source, сравнение кандидата с baseline, политика auto-update на отдельной панели."
opt_stage_runner_v1.py,WEB-006,WS-OPTIMIZATION,поиск: StageRunner / режим по стадиям / запустить StageRunner,StageRunner,Рабочее пространство «Центр оптимизации»,True,Главная страница и/или Optimization page web UI,обязательно,"Один активный режим запуска, stage policy, visible objective contract, run preview."
dist_opt_coordinator.py,WEB-007,WS-OPTIMIZATION,поиск: distributed coordinator / Dask / Ray / BoTorch,Distributed coordinator / Dask / Ray / BoTorch,"Рабочее пространство «Центр оптимизации», режим distributed",True,Optimization page / coordinator blocks / CLI-related forms,обязательно,"Честное переключение режимов, без одновременных conflicting launch-кнопок."
progress json / stage csv / combined csv,WEB-008,WS-MONITOR,поиск: монитор выполнения / progress / стадия,Монитор выполнения и live progress,Рабочее пространство «Монитор выполнения» + нижняя строка состояния,True,Прогресс на странице оптимизации и background status,обязательно,"Прогресс на текущем экране, stage rows, underfill/gate reasons, taskbar progress."
"run directories, metadata, objective_contract.json",WEB-009,WS-OPTIMIZATION,поиск: история запусков / сравнить run / objective contract,История запусков и baseline history,Левое дерево истории + центр оптимизации + анализ,True,Optimization history / archive / baseline history blocks,обязательно,"История показывает objective stack, hard gate, baseline source и причину различий."
run artifacts and result tables,WEB-010,WS-RESULTS; WS-ANALYTICS,поиск: результаты / сравнение / KPI / график,Просмотр результатов и сравнение,Рабочие пространства «Результаты» и «Аналитика»,True,Result viewers / compare pages,обязательно,"Сначала объяснение, потом детали; связка график ↔ таблица ↔ 3D."
anim_latest + truth gates,WEB-011,WS-ANIMATOR,поиск: аниматор / 3D / ViewCube / дорожный HUD,3D-аниматор и дорожный HUD,Рабочее пространство «Аниматор»,True,Desktop animator / animation cockpit / mech_car3d,обязательно,"Truth banner, dock/detach, ViewCube, timeline, связка с анализом и инспектором."
Pneumo scheme data contract,WEB-012,WS-INPUTS; WS-ANIMATOR,поиск: мнемосхема / пневматика / клапан / ресивер,Мнемосхема пневматики,Вкладка preview внутри «Исходных данных» и отдельный документ/панель в «Аниматоре»,True,PneumoScheme/Mnemo page,обязательно,Синхронное графическое представление вместе с полями ввода и выбором узлов.
make_send_bundle.py and diagnostics contract,WEB-013,WS-DIAGNOSTICS,поиск: диагностика / собрать диагностику / health report,Диагностика и SEND bundle,Рабочее пространство «Диагностика» + заметная глобальная кнопка,True,Diagnostics / Hub / send_results_gui,обязательно,"Одна заметная кнопка, видимый состав архива, self-check, путь к последнему архиву."
app settings contract,WEB-014,WS-SETTINGS,поиск: параметры / настройки / инструменты / selfcheck,Параметры приложения и инструменты,Рабочее пространство «Параметры и инструменты» + меню приложения,True,Settings / tools scattered pages,обязательно,"Служебное убрано с первого плана, но доступно через поиск и меню приложения."
Help registry and field registry,WEB-015,GLOBAL,поиск: помощь / единицы / справочник параметров,"Справочник параметров, единицы, help",Правый инспектор «Справка» + знак вопроса + поиск команд,True,Help pages / units pages / tooltips,обязательно,"Каждый элемент имеет tooltip и развёрнутое описание, без скрытых legacy-help маршрутов."
command search contract,WEB-016,GLOBAL,поиск сам является входом,Поиск команд,Верхняя командная панель,True,Ранее отсутствовал как единый first-class слой,новый_обязательный_слой,"Находит команды, параметры, тесты, сценарии, run и артефакты."
artifact registry,WEB-017,WS-ANALYTICS; WS-DIAGNOSTICS,поиск: артефакты / CSV / NPZ / JSON,Артефакты и export files,Левое дерево истории и вкладка «Артефакты» в анализе/диагностике,True,Разрозненные ссылки на CSV/JSON/NPZ,обязательно,"Явная привязка артефакта к run, stage и objective contract."
selfcheck suite,WEB-018,GLOBAL; WS-DIAGNOSTICS,поиск: selfcheck / preflight / целостность схемы,Preflight / selfcheck / целостность схемы,Раздел «Проверка» в правом инспекторе и экран «Диагностика»,True,Preflight и отдельные check pages,обязательно,"Связь с конкретным полем или run, а не абстрактный отчёт без контекста."
