current_label,recommended_label,issue_type,why
GUI диагностики,Диагностика,лишний технический префикс,"Название должно описывать задачу, а не тип окна"
GUI отправки результатов,Отправить архив диагностики,ложная равноправность маршрута,Это вторичное действие после сборки diagnostics bundle
Compare Viewer,Подробное сравнение результатов,англо-техническая подпись,Пользователь должен понимать цель окна до открытия
Compare,Быстрое сравнение,слишком общо,Нужно различать быстрый и подробный compare-route
Редактор исходных данных,Исходные данные проекта,неясна роль master-copy,Нужно явно обозначить первичность и принадлежность к проекту
Центр тестов,Набор испытаний,неясен объект редактирования,"Окно работает с suite, а не со сценарием как геометрией"
stage,Стадия первого входа,английское слово и смысловая неполнота,"Нужно объяснять, что stage относится к моменту первого входа теста"
sidecar,Связанные файлы сценария,технический жаргон,"Пользователю важен смысл файлов, а не внутренний термин"
validation,Проверка набора испытаний,англицизм,Лучше русский канон + явный контекст
Current/Historical,Текущий/Исторический,двуязычие,Единый язык и явный provenance
Mismatch,Несовпадение контракта,слишком технически коротко,"Нужно раскрывать, что именно не совпало"
