path,size_bytes
ACCEPTANCE_MATRIX.csv,38712
ACTIVE_CANON_SUCCESSOR_MATRIX.csv,418
CANON_ACTIVATION_CHECKLIST.csv,365
CHANGELOG_V38.md,699
CONFLICTS_AND_ASSUMPTIONS.csv,5649
CONNECTOR_USAGE_STATUS.md,413
CROSS_REFERENCE_INDEX.csv,25969
DISCOVERED_BACKLOG_SOURCES.csv,7607
EXEC_SUMMARY.json,619
GITHUB_WRITE_STATUS.md,272
GUI_SPEC.yaml,18597
GUI_SPEC_ARCHIVE_LINEAGE_APPENDIX_V38.md,301
GUI_SPEC_ARCHIVE_LINEAGE_PATCH_PROPOSAL.diff,276
GUI_SPEC_IMPORTS_README_PATCH_PROPOSAL.diff,434
IMPORT_TREE_MAP.csv,3357
LAUNCHER_HIERARCHY_RECONCILIATION_V10.md,1286
PACKAGE_INDEX.csv,7369
PACKAGE_INTEGRITY_POLICY.md,365
PACKAGE_MANIFEST.json,22770
PACKAGE_NON_RUNTIME_CLOSURE_NOTICE.md,330
PACKAGE_SELFCHECK_REPORT.json,715
PARAMETER_CATALOG.csv,300772
PARAMETER_GROUPS.csv,1539
PARAMETER_PIPELINE_MATRIX.csv,713250
PARAMETER_RELATIONS.csv,4396
PARAMETER_VISIBILITY_MATRIX.csv,78296
PIPELINE_CURRENT.dot,1176
PIPELINE_OPTIMIZED.dot,1690
POST_MERGE_VALIDATION.md,647
PREDECESSOR_NOTES_V36.md,329
PROJECT_SOURCES_PATCH_PROPOSAL.diff,1738
README.md,1784
README_PROVENANCE.md,1442
REPO_ADOPTION_PLAN.md,1087
REPO_APPLY_ORDER.md,400
REPO_CANON_ALIGNMENT_MATRIX.csv,362
REPO_CANON_READ_ORDER_AFTER_PATCH.md,494
REPO_COMMIT_SEQUENCE.md,541
REPO_GITHUB_KB_SUPPLEMENT_SUMMARY.md,1462
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/ACCEPTANCE_MATRIX.csv,38712
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/ACTIVE_CANON_SUCCESSOR_MATRIX.csv,418
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/CONFLICTS_AND_ASSUMPTIONS.csv,5649
