src,dst,workspace,layer,edge_kind,weight,evidence_status,why
CUR-IN-HOME-LAUNCH,CUR-IN-NUMERIC-ONLY,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
CUR-IN-NUMERIC-ONLY,CUR-IN-C1C2-HIDDEN,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
CUR-IN-C1C2-HIDDEN,CUR-IN-LEVELING-HIDDEN,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
CUR-IN-LEVELING-HIDDEN,CUR-IN-SYMMETRY-HIDDEN,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
CUR-IN-SYMMETRY-HIDDEN,CUR-IN-TWIN-PARTIAL,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
CUR-IN-TWIN-PARTIAL,CUR-IN-VALIDATE-SAVE,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
ROOT-WS-INPUTS,IN-TASK-SELECT-GROUP,WS-INPUTS,optimized,task_flow,0.22,designed_target,Operational action→feedback route.
IN-TASK-SELECT-GROUP,IN-TASK-EDIT-GEOMETRY,WS-INPUTS,optimized,task_flow,0.18,designed_target,Operational action→feedback route.
IN-TASK-EDIT-GEOMETRY,IN-TASK-SELECT-SPRING-CONFIG,WS-INPUTS,optimized,task_flow,0.16,designed_target,Operational action→feedback route.
IN-TASK-SELECT-SPRING-CONFIG,IN-CHECK-SPRING-VIS,WS-INPUTS,optimized,checks,0.12,designed_target,Operational action→feedback route.
IN-CHECK-SPRING-VIS,IN-FEEDBACK-C1C2,WS-INPUTS,optimized,feedback,0.08,designed_target,Operational action→feedback route.
IN-TASK-SELECT-SPRING-CONFIG,IN-TASK-ENABLE-LEVELING,WS-INPUTS,optimized,task_flow,0.16,designed_target,Operational action→feedback route.
IN-TASK-ENABLE-LEVELING,IN-CHECK-LEVELING-VIS,WS-INPUTS,optimized,checks,0.12,designed_target,Operational action→feedback route.
