PAR_ID,FIELD_ID,FULL_NAME_RU,SHORT_NAME_RU,SYMBOL,UNIT,DATA_TYPE,STORAGE_FORMAT,INPUT_FORMAT,ALLOWED_VALUES,DEFAULT_VALUE,DEPENDENCIES,GROUP_ID,SOURCE_OF_TRUTH,CODE_LOCATION,GUI_SURFACES,ROLE_IN_LOGIC,VISIBILITY_ROLE,EDITABILITY,ACCESSIBILITY,WHY_AVAILABLE_OR_NOT,DERIVED_PRESENTATIONS,LEGENDS_AND_INDICATORS,TEST_AND_ACCEPTANCE_LINKS,STATUS,SOURCE_ID
PAR-0001,RG-FLD-SCENARIO-NAME,Название сценария,Название сценария,,not_applicable,text,as_declared,string,,,,GRP-RING-GLOBAL,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Имя сценария для пользователя и истории.,global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0002,RG-FLD-CLOSURE-POLICY,Политика замыкания кольца,Политика замыкания кольца,,not_applicable,enum,as_declared,enum,closed_c1_periodic|closed_exact|preview_open_only,,,GRP-RING-GLOBAL,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Как замыкается последний сегмент на первый.,global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0003,RG-FLD-V0,Начальная скорость прохождения,Начальная скорость прохождения,,км/ч,number,as_declared,as_declared,,,,GRP-RING-GLOBAL,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Начальная скорость сценария.,global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0004,RG-FLD-DX,Шаг дискретизации дороги,Шаг дискретизации дороги,,м,number,as_declared,as_declared,,,,GRP-RING-GLOBAL,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Пространственный шаг генерации дорожного профиля.,global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0005,RG-FLD-LAPS,Количество кругов,Количество кругов,,шт.,integer,as_declared,as_declared,,,,GRP-RING-GLOBAL,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Сколько кругов формирует сценарий.,global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0006,RG-FLD-SEED,Код генератора случайности,Код генератора случайности,,код,integer,as_declared,as_declared,,,,GRP-RING-GLOBAL,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Повторяемость генератора.,global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0007,RG-FLD-ROAD-WIDTH,Ширина дороги,Ширина дороги,,м,number,as_declared,as_declared,,,,GRP-RING-GLOBAL,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,"Используется для поперечного профиля, полос и preview ширины дороги.",global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0008,RG-FLD-START-HEIGHT,Высота дороги в начале кольца,Высота дороги в начале кольца,,мм,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Начальная высота центральной линии дороги для сегмента 0.,segment0,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0009,RG-FLD-SHOV-THRESHOLD,Порог допуска шва кольца,Порог допуска шва кольца,,мм,number,as_declared,as_declared,,,,GRP-RING-GLOBAL,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,"Порог, выше которого шов считается проблемным и требует явного решения.",global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0010,RG-FLD-SEGMENT-ID,Номер сегмента,Номер сегмента,,шт.,readonly_integer,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Порядковый номер сегмента.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0011,RG-FLD-SEGMENT-LABEL,Имя сегмента,Имя сегмента,,not_applicable,text,as_declared,string,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Короткое имя сегмента.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
