import_path,size_bytes
docs/context/gui_spec_imports/v38_github_kb_commit_ready/ACCEPTANCE_MATRIX.csv,38712
docs/context/gui_spec_imports/v38_github_kb_commit_ready/ACTIVE_CANON_SUCCESSOR_MATRIX.csv,418
docs/context/gui_spec_imports/v38_github_kb_commit_ready/CONFLICTS_AND_ASSUMPTIONS.csv,5083
docs/context/gui_spec_imports/v38_github_kb_commit_ready/CROSS_REFERENCE_INDEX.csv,25969
docs/context/gui_spec_imports/v38_github_kb_commit_ready/DISCOVERED_BACKLOG_SOURCES.csv,7607
docs/context/gui_spec_imports/v38_github_kb_commit_ready/GUI_SPEC.yaml,18597
docs/context/gui_spec_imports/v38_github_kb_commit_ready/GUI_SPEC_ARCHIVE_LINEAGE_APPENDIX_V38.md,570
docs/context/gui_spec_imports/v38_github_kb_commit_ready/LAUNCHER_HIERARCHY_RECONCILIATION_V10.md,1286
docs/context/gui_spec_imports/v38_github_kb_commit_ready/NON_RUNTIME_CLOSURE_NOTICE.md,330
docs/context/gui_spec_imports/v38_github_kb_commit_ready/PARAMETER_CATALOG.csv,300772
docs/context/gui_spec_imports/v38_github_kb_commit_ready/PARAMETER_GROUPS.csv,1539
docs/context/gui_spec_imports/v38_github_kb_commit_ready/PARAMETER_PIPELINE_MATRIX.csv,713250
docs/context/gui_spec_imports/v38_github_kb_commit_ready/PARAMETER_RELATIONS.csv,4396
docs/context/gui_spec_imports/v38_github_kb_commit_ready/PARAMETER_VISIBILITY_MATRIX.csv,78296
docs/context/gui_spec_imports/v38_github_kb_commit_ready/PIPELINE_CURRENT.dot,1176
docs/context/gui_spec_imports/v38_github_kb_commit_ready/PIPELINE_OPTIMIZED.dot,1690
docs/context/gui_spec_imports/v38_github_kb_commit_ready/PREDECESSOR_NOTES_V36.md,329
docs/context/gui_spec_imports/v38_github_kb_commit_ready/README.md,1784
docs/context/gui_spec_imports/v38_github_kb_commit_ready/README_PROVENANCE.md,1188
docs/context/gui_spec_imports/v38_github_kb_commit_ready/REMOTE_REPO_CANON_EVIDENCE_V38.md,1220
docs/context/gui_spec_imports/v38_github_kb_commit_ready/REPO_CANON_ALIGNMENT_MATRIX.csv,362
docs/context/gui_spec_imports/v38_github_kb_commit_ready/REPO_GITHUB_KB_SUPPLEMENT.md,208
docs/context/gui_spec_imports/v38_github_kb_commit_ready/REPO_GITHUB_KB_SUPPLEMENT_SUMMARY.md,1462
docs/context/gui_spec_imports/v38_github_kb_commit_ready/REPO_KB_MAINTAINER_CHECKLIST.md,1078
docs/context/gui_spec_imports/v38_github_kb_commit_ready/REPO_OPEN_GAPS_TO_KEEP_OPEN.csv,380
docs/context/gui_spec_imports/v38_github_kb_commit_ready/REQUIREMENTS_MATRIX.csv,42553
docs/context/gui_spec_imports/v38_github_kb_commit_ready/SCREEN_CATALOG.csv,45397
docs/context/gui_spec_imports/v38_github_kb_commit_ready/STRUCTURE_LINT_REPORT.md,1278
docs/context/gui_spec_imports/v38_github_kb_commit_ready/TECHNICAL_SPECIFICATION.md,23326
docs/context/gui_spec_imports/v38_github_kb_commit_ready/TERMINOLOGY_GLOSSARY.csv,10019
docs/context/gui_spec_imports/v38_github_kb_commit_ready/TEST_CATALOG.csv,21275
docs/context/gui_spec_imports/v38_github_kb_commit_ready/UI_ELEMENT_CATALOG.csv,444093
docs/context/gui_spec_imports/v38_github_kb_commit_ready/V10_ACTUALIZATION_REPORT.md,1510
docs/context/gui_spec_imports/v38_github_kb_commit_ready/V10_RECONCILIATION_MATRIX.csv,1411
docs/context/gui_spec_imports/v38_github_kb_commit_ready/WINDOW_CATALOG.csv,4608
docs/context/gui_spec_imports/v38_github_kb_commit_ready/WISHLIST_TODO_RECONCILIATION.csv,4232
docs/context/gui_spec_imports/v38_github_kb_commit_ready/WORKSPACE_CONTRACT_MATRIX.csv,4147
