web_feature_id,web_function,old_place,desktop_place,desktop_element_or_mode,source_of_truth,preserved_without_loss,improvement,command_search_route,migration_status
WEB-RING-001,Генератор дорожного сценария,Веб-форма генератора сценария,WS-RING / RG-HEADER,Глобальные поля кольца и кнопка preview,Канонический ring_scenario,Да,Пользователь видит все глобальные поля в одной строке без скрытых legacy-веток,Команды и поля находятся через поиск: редактор кольца / генератор сценария,обязательно
WEB-RING-002,Список сегментов,Веб-таблица сегментов,WS-RING / RG-LEFT / RG-SEGMENT-LIST,"Список сегментов, reorder, duplicate, insert",Канонический ring_scenario.segments[],Да,Появляется явный skeleton кольца и drag/reorder-поведение,поиск: сегменты кольца / список сегментов,обязательно
WEB-RING-003,Поля сегмента,Карточка/форма сегмента в web,GLOBAL-RIGHT-INSPECTOR / mode=segment_detail,Карточка выбранного сегмента,Канонический ring_scenario.segments[i],Да,Больше нет смешения глобальных и локальных полей на одной длинной web-странице,поиск: длина сегмента / поворот / поперечный уклон,обязательно
WEB-RING-004,Сегмент 0,Специальная логика первого сегмента,WS-RING + inspector mode segment0,Явный старт и конец сегмента 0,Канонический ring_scenario.start + segments[0],Да,Стартовое состояние не размазывается по всем сегментам,поиск: сегмент 0 / начало кольца,обязательно
WEB-RING-005,Последний сегмент и автозамыкание,Скрытая логика closure в web,WS-RING / seam_export,Locked auto-close поля и диагностика шва,Канонический closure_policy + derived seam,Да,Пользователь явно видит auto-close и seam delta,поиск: автозамыкание / шов кольца,обязательно
WEB-RING-006,План кольца,Canvas/preview web,WS-RING / RG-PLAN,Главный план кольца,Ring editor preview,Да,"План становится first-class visual source, а не вторичным блоком",поиск: план кольца,обязательно
WEB-RING-007,Продольный профиль,График высоты web,WS-RING / RG-LONG,Продольный профиль,Ring editor preview,Да,График синхронизирован с выбором сегмента и инспектором,поиск: продольный профиль,обязательно
WEB-RING-008,Поперечный уклон и шов,Набор мелких виджетов web,WS-RING / RG-CROSSFALL,Поперечный уклон и seam diagnostics,Ring editor preview + validation,Да,Поперечный уклон сведён к одному параметру сегмента,поиск: поперечный уклон / шов,обязательно
WEB-RING-009,Покрытие и генератор поверхности,Поля ISO/SINE/CSV,GLOBAL-RIGHT-INSPECTOR / section surface,Поля surface type/class/profile,Ring editor segment surface,Да,"Conditional UI по типу покрытия, без дублей полей",поиск: покрытие / ISO8608 / SINE,обязательно
WEB-RING-010,Разгон/торможение как описание сегмента,Смешение geometry и maneuver в web,GLOBAL-RIGHT-INSPECTOR / section passage,Режим прохождения сегмента,Пара passage_mode + target_speed,Да,Разгон/торможение перестают быть геометрическим типом сегмента,поиск: режим прохождения / целевая скорость,обязательно
WEB-RING-011,Экспорт scenario_json,Кнопка export в web,WS-RING / RG-FOOTER,Экспортировать сценарий,Ring editor export,Да,Экспорт связан с validation state и показывает paths/versions,поиск: экспортировать сценарий,обязательно
WEB-RING-012,Экспорт road_csv,Генерация road_csv,WS-RING / RG-FOOTER,Сводка export artifacts,Ring editor export,Да,Пути export файлов видимы сразу после генерации,поиск: road_csv / профиль дороги,обязательно
WEB-RING-013,Связка со списком испытаний,Косвенная ручная связь web,WS-RING → WS-SUITE,Mode suite_handoff и action Add to Suite,Ring to suite link contract,Да,Связь становится явной и трассируемой,поиск: добавить в испытания / linked scenario,обязательно
WEB-RING-014,Пустой старт без автоселекта,Список сценариев мог быть пустым,WS-RING / empty state,Карточка пустого состояния,Workspace state machine,Да,"Пустой список — штатное состояние, не ошибка",поиск: новый сценарий / импорт сценария,обязательно
WEB-RING-015,Подсказки и help,Фрагментарно в web UI,Все режимы WS-RING,Tooltip + знак вопроса у каждого значимого элемента,Tooltip/help registry,Да,Поле и экран объяснимы без обходных справок,поиск: помощь по полю,обязательно
WEB-RING-016,Диагностика шва,Отдельные или скрытые проверки,WS-RING / RG-CROSSFALL + RG-FOOTER,Явная seam diagnostics,Validation contract,Да,"Шов виден на текущем экране, а не только в логах",поиск: диагностика шва кольца,обязательно
WEB-RING-017,Передача метаданных segment_id,Потребители брали метаданные неявно,WS-RING export -> WS-ANIMATOR/WS-SUITE,meta_json['road']['segments'] и segment_id series,Ring export contract,Да,WS-ANIMATOR и self-check получают канонический сценарный контракт,поиск: segment_id / road segments,обязательно
WEB-RING-018,Матрица соответствия web → desktop,Ранее отсутствовала как детальная ring-level матрица,V13 package,web_to_desktop_migration_matrix_v13.csv,Migration package,Да,Появляется артефакт без потери функций именно по сценарному контуру,поиск: миграция редактора кольца,новый_обязательный_слой
