state_id,trigger,first_feedback,repair_action,resolved_state,workspace
dirty_inputs,inputs_changed,validation_pass,save_snapshot,inputs_saved,WS-INPUTS
invalid_inputs,validation_fail,field_error_shown,fix_field_and_revalidate,inputs_valid,WS-INPUTS
seam_invalid,ring_seam_check_fail,seam_diagnostics_open,edit_segment0_or_last,seam_valid,WS-RING
export_stale_by_ring_edit,ring_export_hash_mismatch,export_required_banner,reexport_ring,export_fresh,WS-RING
suite_link_stale,suite_snapshot_hash_mismatch,rows_marked_stale,return_to_ring_and_rebuild_suite,suite_fresh,WS-SUITE
baseline_source_mismatch,baseline_hash_mismatch,contract_banner,choose_or_activate_baseline,baseline_ready,WS-BASELINE
objective_contract_mismatch,run_contract_diff,contract_diff_shown,launch_new_run_or_switch_run,contract_aligned,WS-OPTIMIZATION
stage_underfill,seed_budget_shortfall,underfill_reason_shown,tune_policy_or_accept_stage,stage_complete,WS-OPTIMIZATION
compare_contract_mismatch,compare_context_diff,compare_banner,change_left_or_right_context,compare_aligned,WS-ANALYSIS
truth_degraded,missing_packaging_or_sidecar,warning_strip_shown,fix_source_or_accept_degraded,truth_resolved_or_acknowledged,WS-ANIMATOR
bundle_stale,bundle_source_hash_mismatch,bundle_stale_badge,rebuild_bundle,bundle_fresh,WS-DIAGNOSTICS
