vis_id,workspace,user_action_or_state,current_visibility,optimized_visibility,required_surface,required_feedback,why_critical
IN-COG-001,WS-INPUTS,Пользователь выбрал две пружины на угол,Слабо видно или не видно сразу,Карточка угла и схема показывают C1/C2 немедленно,WS-INPUTS,Badge по углу + схема C1/C2 + inspector,"Пользователь должен понимать, что реально выбрано."
IN-COG-002,WS-INPUTS,Пользователь включил выравнивание пружинами,Режим неочевиден и результат неочевиден,"Виден режим, способ выравнивания и остаток, миллиметры",WS-INPUTS,Mode badge + method text + residual mm,Автоматический режим без объяснения разрушает доверие.
IN-COG-003,WS-INPUTS,Пользователь включил зеркальную симметрию,Состояние скрыто или выражено слабо,Явный lock-индикатор и синхронное поведение полей лево/право,WS-INPUTS,Lock badge + mirrored update,"Иначе непонятно, синхронны ли борта."
RG-COG-001,WS-RING,Пользователь редактирует сегмент и должен понимать геометрию,Список/preview могут читаться не как единый контракт,"План, профиль, поперечный уклон и inspector синхронизированы",WS-RING,Selection sync + unified preview,Сегмент — это источник истины сценария.
RG-COG-002,WS-RING,Пользователь проверяет шов кольца,Шов выражен недостаточно явно,Статус шва и auto-close последнего сегмента видны на текущем экране,WS-RING,Seam status + locked last segment,Иначе цикличность остаётся двусмысленной.
RG-COG-003,WS-RING,Пользователь задаёт поворот сегмента,"Поворот может читаться по телеметрии, а не как явная геометрия",Тип поворота всегда задаётся явно,WS-RING,Явный enum прямо / влево / вправо,Разгон/торможение не должны подменять геометрию.
OPT-COG-001,WS-OPTIMIZATION,Пользователь собирается запускать оптимизацию,Контракт цели и hard gate могут читаться неравномерно,Стек целей и hard gate видны на одном уровне до запуска,WS-OPTIMIZATION,Contract summary,"Пользователь должен понимать, что именно оптимизируется."
OPT-COG-002,WS-OPTIMIZATION,Стадия недобрала seed budget,Причина недобора читается не сразу,Underfill и gate reasons видны прямо на текущем экране,WS-OPTIMIZATION,Underfill message + gate reasons,Иначе прогресс кажется сломанным.
OPT-COG-003,WS-OPTIMIZATION,Кандидат не продвинут дальше по стадиям,Причина promotion-block редко очевидна,Promotion reason и blocked reason видны сразу,WS-OPTIMIZATION,Promotion reason list,Stage-policy должна быть объяснимой.
DI-COG-001,WS-DIAGNOSTICS,Пользователь хочет собрать диагностику,Маршрут раздвоен между сборкой и отправкой,Одна доминирующая команда «Собрать диагностику»,WS-DIAGNOSTICS,Primary collect action,Сборка и отправка не должны конкурировать.
DI-COG-002,WS-DIAGNOSTICS,Архив диагностики уже готов,"Свежесть, путь и состав bundle читаются не всегда сразу","Видны свежесть, путь, состав и provenance последнего архива",WS-DIAGNOSTICS,Freshness + path + contents,"Это operational surface, а не скрытая служебщина."
DI-COG-003,WS-DIAGNOSTICS,Пользователь должен доверять runtime и selfcheck,Helper runtime и provenance читаются слишком поздно,"Helper python, interpreter provenance и workspace видны на первом экране",WS-DIAGNOSTICS,Runtime badges + selfcheck summary,"Без этого пользователь не понимает, можно ли доверять bundle."
