artifact,status,reason
pneumo_gui_graph_iteration_v12,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v12.zip,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v12.zip.sha256,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v13,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v13.zip,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v13.zip.sha256,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v14,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v14.zip,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v14.zip.sha256,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v15,superseded_by,v19-v21 graph layers
pneumo_gui_graph_iteration_v15.zip,superseded_by,v19-v21 graph layers
pneumo_gui_graph_iteration_v15.zip.sha256,superseded_by,v19-v21 graph layers
pneumo_gui_graph_iteration_v16,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v16.zip,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v16.zip.sha256,superseded_by,v17-v21 graph layers
pneumo_gui_graph_iteration_v18,superseded_by,v19-v21 graph layers
pneumo_gui_graph_iteration_v18.zip,superseded_by,v19-v21 graph layers
pneumo_gui_graph_iteration_v18.zip.sha256,superseded_by,v19-v21 graph layers
pneumo_gui_graph_rebuild_v11,superseded_by,v17-v21 graph layers
pneumo_gui_graph_rebuild_v11.zip,superseded_by,v17-v21 graph layers
pneumo_gui_graph_rebuild_v11.zip.sha256,superseded_by,v17-v21 graph layers
pneumo_human_gui_report_only_v6,superseded_by,v10-v16 human report layers
pneumo_human_gui_report_only_v6.zip,superseded_by,v10-v16 human report layers
pneumo_human_gui_report_only_v6.zip.sha256,superseded_by,v10-v16 human report layers
pneumo_human_gui_report_only_v7.zip,superseded_by,v10-v16 human report layers
pneumo_human_gui_report_only_v8_window_routes,superseded_by,v10-v16 human report layers
pneumo_human_gui_report_only_v8_window_routes.zip,superseded_by,v10-v16 human report layers
pneumo_human_gui_report_only_v8_window_routes.zip.sha256,superseded_by,v10-v16 human report layers
pneumo_human_gui_report_only_v9_first_screens,superseded_by,v10-v16 human report layers
pneumo_human_gui_report_only_v9_first_screens.zip,superseded_by,v10-v16 human report layers
pneumo_human_gui_report_only_v9_first_screens.zip.sha256,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v1,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v1.zip,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v1.zip.sha256,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v2,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v2.zip,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v2.zip.sha256,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v3_window_internals,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v3_window_internals.zip,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v3_window_internals.zip.sha256,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v4_desktop_windows,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v4_desktop_windows.zip,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v4_desktop_windows.zip.sha256,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v5_module_internals,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v5_module_internals.zip,superseded_by,v10-v16 human report layers
pneumo_human_gui_simulation_audit_v5_module_internals.zip.sha256,superseded_by,v10-v16 human report layers
pneumo_gui_codex_package_v2,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v2.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v3,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v3.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v3.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v4,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v4.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v4.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v5,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v5.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v5.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v6_impl,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v6_impl.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v6_impl.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_package_v7_bootstrap,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v7_bootstrap.zip,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v7_bootstrap.zip.sha256,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v8_fillin,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v8_fillin.zip,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v8_fillin.zip.sha256,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v9_interactions,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v9_interactions.zip,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v9_interactions.zip.sha256,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v10_backend_adapters,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v10_backend_adapters.zip,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v10_backend_adapters.zip.sha256,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v11_execution_wiring,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v11_execution_wiring.zip,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_package_v11_execution_wiring.zip.sha256,excluded_as,"implementation-branch, not final spec"
pneumo_gui_codex_preservation_and_design_recovery_v12,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_preservation_and_design_recovery_v12.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_preservation_and_design_recovery_v12.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v13_ring_editor_migration,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v13_ring_editor_migration.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v14_suite_consumer_contract,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v14_suite_consumer_contract.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v14_suite_consumer_contract.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v15_baseline_consumer_contract,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v15_baseline_consumer_contract.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v15_baseline_consumer_contract.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v16_optimization_consumer_contract,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v16_optimization_consumer_contract.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v16_optimization_consumer_contract.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v17_analysis_consumer_contract,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v17_analysis_consumer_contract.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v17_analysis_consumer_contract.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v18_animator_consumer_contract,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v18_animator_consumer_contract.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v18_animator_consumer_contract.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v19_diagnostics_consumer_contract,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v19_diagnostics_consumer_contract.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v19_diagnostics_consumer_contract.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v20_global_shell_contract,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v20_global_shell_contract.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v20_global_shell_contract.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v21_project_inputs_consolidation,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v21_project_inputs_consolidation.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v21_project_inputs_consolidation.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v22_ring_suite_reconciliation,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v22_ring_suite_reconciliation.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v22_ring_suite_reconciliation.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v23_downstream_lineage_propagation,superseded_by,v38_actualized_with_v10
