SCREEN_ID,SCREEN_NAME_RU,WORKSPACE_ID,MODE,ENTRY_NODE,ACTIVE_REGIONS,INSPECTOR_MODE,PRIMARY_ACTION,SECONDARY_ACTIONS,REFLOW_RULE,DESCRIPTION,SOURCE_ID,WINDOW_ID
RING-SCR-01,Редактор кольца — обзор,WS-RING,overview,OPT-03,RG-HEADER;RG-LEFT;RG-PLAN;RG-LONG;RG-CROSSFALL;RG-FOOTER,field_help,Сгенерировать предварительный просмотр,Проверить шов кольца;Экспортировать сценарий;Добавить в испытания,"При сужении окно сворачивает нижние графики во вкладки; при micro сначала список сегментов, потом карточка сегмента, потом превью.","Стартовый экран рабочего пространства. Пользователь видит сразу список сегментов, план кольца, продольный профиль, поперечный уклон и шов.",SRC-013,WIN-MAIN-SHELL
RING-SCR-02,Редактор кольца — карточка сегмента,WS-RING,segment_detail,OPT-03-SEGMENT,RG-HEADER;RG-LEFT;RG-PLAN;RG-LONG;RG-CROSSFALL;RG-FOOTER,segment_detail,Сохранить изменения сегмента,Дублировать сегмент;Поднять сегмент;Опустить сегмент;Удалить сегмент,При narrow инспектор становится полноэкранным drawer справа; при micro сегмент редактируется в пошаговом режиме без модальности.,"Экран того же рабочего пространства, но с раскрытым правым инспектором. Детальные поля сегмента редактируются только здесь.",SRC-013,WIN-MAIN-SHELL
RING-SCR-03,Редактор кольца — шов и экспорт,WS-RING,seam_export,OPT-03-SEAM,RG-HEADER;RG-LEFT;RG-PLAN;RG-LONG;RG-CROSSFALL;RG-FOOTER,seam_and_export,Добавить в испытания,Экспортировать сценарий;Открыть диагностический отчёт шва,При compact шов и экспорт объединяются в одну аккордеон-секцию в footer регионе; при micro кнопки превращаются в мастер «Проверить → Экспортировать → Добавить в испытания».,"Фокус на диагностике автозамыкания, явной проверке шва, экспорте артефактов и передаче сценария в матрицу испытаний.",SRC-013,WIN-MAIN-SHELL
RING-SCR-04,Редактор кольца — связь с матрицей испытаний,WS-RING,suite_handoff,OPT-03-TO-SUITE,RG-HEADER;RG-LEFT;RG-PLAN;RG-FOOTER,suite_handoff,Создать или обновить связанное испытание,Открыть матрицу испытаний;Вернуться к редактированию кольца,При narrow показывается только summary сценария и карта полей будущего теста; при micro открывается мини-мастер передачи.,"Промежуточный экран/режим передачи сценария в WS-SUITE без потери source-of-truth. Пользователь видит, какие поля копируются в испытание и какие остаются ссылками на кольцевой контракт.",SRC-013,WIN-MAIN-SHELL
SUITE-SCR-01,Матрица испытаний — обзор,WS-SUITE,overview,OPT-04,ST-HEADER;ST-FILTER;ST-GRID;ST-SUMMARY;ST-VALIDATION;ST-FOOTER,field_help,Проверить набор испытаний,Добавить из редактора кольца;Добавить шаблон испытания;Импортировать;Экспортировать,При narrow правая карточка переносится под таблицу; при micro таблица и карточка работают как мастер: список строк → карточка строки → проверка → передача.,"Стартовый экран WS-SUITE. Пользователь видит канонический список испытаний, фильтры, состояние проверки и готовность к передаче в базовый прогон.",SRC-014,WIN-MAIN-SHELL
SUITE-SCR-02,Матрица испытаний — строка ring-linked,WS-SUITE,row_detail_ring,OPT-04-ROW-RING,ST-HEADER;ST-FILTER;ST-GRID;ST-SUMMARY;ST-VALIDATION;ST-FOOTER,row_detail_ring,Сохранить разрешённые переопределения,Открыть сценарий-источник;Показать артефакты;Обновить ссылку,При narrow карточка строки становится выезжающей панелью справа; при micro редактируются только разрешённые поля строки без показа локальной геометрии.,"Режим строки, связанной с редактором кольца. Геометрия сценария read-only, редактируются только stage/priority/dt/t_end/targets/params overrides.",SRC-014,WIN-MAIN-SHELL
SUITE-SCR-03,Матрица испытаний — строка шаблона,WS-SUITE,row_detail_template,OPT-04-ROW-TEMPLATE,ST-HEADER;ST-FILTER;ST-GRID;ST-SUMMARY;ST-VALIDATION;ST-FOOTER,row_detail_template,Сохранить испытание-шаблон,Преобразовать в ring-linked нельзя;Дублировать строку;Удалить строку,При narrow шаблонная карточка становится выезжающей панелью; при micro действует пошаговый режим по блокам «тип → время → targets».,"Режим строки без дорожной геометрии из WS-RING: инерционные, bump и другие шаблонные испытания.",SRC-014,WIN-MAIN-SHELL
SUITE-SCR-04,Матрица испытаний — stale-link ремонт,WS-SUITE,stale_link_repair,OPT-04-STALE,ST-HEADER;ST-GRID;ST-SUMMARY;ST-VALIDATION;ST-FOOTER,stale_link_repair,Пересвязать строку с актуальным экспортом,Открыть источник в WS-RING;Отложить строку;Отключить строку,"При compact таблица остаётся слева, а ремонт stale-link переходит в полноширинный правый блок; при micro показывается мастер «причина → выбор действия → результат».","Промежуточный экран ремонта устаревшей связи, когда версия экспорта сценария изменилась или артефакт отсутствует.",SRC-014,WIN-MAIN-SHELL
SUITE-SCR-05,Матрица испытаний — проверка и снимок,WS-SUITE,validation_snapshot,OPT-04-VALIDATE,ST-HEADER;ST-GRID;ST-VALIDATION;ST-FOOTER,validation_handoff,Собрать validated snapshot,Повторно проверить;Показать блокирующие ошибки;Экспортировать отчёт проверки,"При narrow подробности проверки складываются под таблицу; при micro блокирующие ошибки выводятся первым экраном, а кнопка snapshot остаётся в нижней панели.","Фокус на проверке набора испытаний и сборке неизменяемого снимка, который дальше потребляет WS-BASELINE.",SRC-014,WIN-MAIN-SHELL
SUITE-SCR-06,Матрица испытаний — передача в базовый прогон,WS-SUITE,baseline_handoff,OPT-04-TO-BASELINE,ST-HEADER;ST-SUMMARY;ST-VALIDATION;ST-FOOTER,validation_handoff,Перейти к базовому прогону с validated snapshot,Открыть snapshot;Вернуться к строкам;Экспортировать suite,При narrow остаётся только summary handoff; при micro открывается мастер «snapshot → baseline preview → launch».,"Экран/режим передачи набора испытаний в WS-BASELINE. Пользователь видит hash снимка, число пригодных строк и блокирующие остатки.",SRC-014,WIN-MAIN-SHELL
