PAR_ID,PIPELINE_NODE,VISIBILITY_MODE,WHY,GRAPHICS_TRUTH_STATE
PAR-0001,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0001,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0001,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0001,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0001,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0001,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0001,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0001,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0001,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0001,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0001,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0002,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0002,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0002,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0002,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0002,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0002,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0002,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0002,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0002,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0002,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0002,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0003,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0003,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0003,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0003,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0003,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0003,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0003,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0003,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0003,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0003,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0003,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0004,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0004,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0004,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0004,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0004,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0004,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0004,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0004,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0004,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0004,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0004,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0005,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0005,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0005,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0005,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0005,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0005,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0005,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0005,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0005,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0005,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0005,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0006,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0006,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0006,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0006,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0006,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0006,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0006,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0006,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0006,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
