ISSUE_ID,STATUS,DESCRIPTION,SOURCE_IDS,RESOLUTION_OR_RULE,IMPACT
ISSUE-001,assumption,"Рабочим корнем GitHub-репозитория принят `pneumo2_R31CN_HF8_repo_root`, опубликованный в ветке `main`.",SRC-004,"Использовать именно этот root как главный repo context, пока не появится новый официальный рабочий root.",Низкий
ISSUE-002,assumption,Подключённый GitHub-источник был reconciled через живые raw GitHub documents и локальный attached corpus; прямой connector tree listing в этой среде не экспонирован как отдельный tool.,SRC-001;SRC-004;SRC-006;SRC-007,Считать raw GitHub docs и локальные attached layers достаточным фактическим слоем для текущего package.,Средний
ISSUE-003,gap,Не доказана полная runtime-приёмка проекта по evidence-layer; snapshot и backlog прямо фиксируют недоказанность runtime acceptance.,SRC-005;SRC-011,Сохранять как open gap и не маркировать как закрытое без свежих runtime artifacts.,Высокий
ISSUE-004,gap,Producer-side hardpoints/solver_points/cylinder packaging contract неполон для полного truthful 3D.,SRC-002;SRC-005;SRC-018;SRC-025;SRC-026,Сохранять axis-only honesty mode и truthful warnings; не разрешать full-truth packaging до completion.,Высокий
ISSUE-005,covered_partially,"Часть detailed GUI layers доступна только как attached imports, а не как живые repo files в текущей сессии.",SRC-013;SRC-014;SRC-015;SRC-016;SRC-017;SRC-018;SRC-019;SRC-020;SRC-021,"Использовать их как evidence/structure layer, но приоритет оставлять у repo docs и текущего канонического prompt.",Средний
ISSUE-006,conflict,"Исторические implementation-пакеты v6–v11 и bootstrap/source branches противоречат цели текущего задания, потому что являются кодовой веткой, а не ТЗ-пакетом.",SRC-012,"Сохранены как исторический evidence layer, но не используются как primary canonical output.",Средний
ISSUE-007,assumption,GUI package строится recipient-neutral: без внутренней роли автора/исполнителя и без ссылок на приватные внутренние ярлыки.,SRC-000,Поддерживается намеренно во всех файлах package.,Низкий
ISSUE-008,covered_partially,Desktop Animator / Compare Viewer / Desktop Mnemo трактуются как отдельные top-level окна; текущая runtime-реализация может эволюционировать.,SRC-007;SRC-020,"Фиксировать это как target desktop contract, а не как доказанную implementation detail.",Низкий
ISSUE-009,covered_partially,"Objective-contract alignment между StageRunner и distributed coordinator зафиксирован как обязательный, но runtime proof complete отсутствует в текущем package.",SRC-016;SRC-023,Оставить covered_partially до свежих runtime bundles с доказанным parity.,Средний
ISSUE-010,open_question,"Степень выноса historical/legacy CLI knobs в user-facing GUI должна решаться по текущему active control plane, а не по всем историческим флагам подряд.",SRC-016;SRC-020,"Пакет сознательно переносит active current-code control plane, а legacy knobs фиксирует как non-default/optional.",Средний
ISSUE-011,gap,Внешние workspace/external_context_snapshots не были прочитаны напрямую как live connected filesystem.,SRC-004;SRC-011,Считать их evidence-only until directly available.,Низкий
ISSUE-012,assumption,Отсутствие retrievable file_search sources компенсировано использованием local container files и live GitHub raw docs.,SRC-000;SRC-001;SRC-004,Для этой сессии считать это достаточной инструментальной стратегией.,Низкий
ISSUE-013,covered_partially,"Repo wishlist и attached/imported wishlist layers частично перекрываются, но не являются единым прямым runtime доказательством закрытия пунктов.",SRC-005;SRC-010;SRC-031,Использовать wishlist как backlog-evidence и reconciliation layer; статус closure брать только из requirements/acceptance matrices и runtime evidence.,Средний
