SOURCE_ID,SOURCE_TYPE,PATH_OR_URL,AUTHORITY,FRESHNESS,PRIORITY,CONTAINS,RECONCILED_AS
SRC-000,attached_prompt,SOURCE_CONTEXT/prompt_for_codex_tz_spec_recipient_neutral_CANONICAL_2026-04-16_CONNECTOR_RECONCILED.md,normative,current,primary,"Текущее каноническое задание для package-level outputs, statuses, truth states и mandatory files.",used_as_primary_normative_source
SRC-001,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/00_READ_FIRST__ABSOLUTE_LAW.md,normative,current,high,"Абсолютный закон проекта: единый реестр параметров, no aliases, no invented params, absolute geometry law.",used_as_core_law
SRC-002,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/01_PARAMETER_REGISTRY.md,normative,current,high,"Канонические источники ключей, suite keys, hardpoints/cylinder packaging families.",used_as_parameter_canon
SRC-003,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/DATA_CONTRACT_UNIFIED_KEYS.md,normative,current,high,Единый контракт метаданных и сигналов export/NPZ/Animator.,used_as_export_contract_canon
SRC-004,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/docs/PROJECT_SOURCES.md,normative,current,high,Канонический порядок чтения и stack GUI/imported layers.,used_as_source_priority_index
SRC-005,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/docs/11_TODO.md,normative_backlog,current,high,"Текущий TODO-снимок и P0/P1 узлы, включая perf, road, cylinder packaging, solver truth.",reconciled_into_backlog
SRC-006,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/docs/17_WINDOWS_DESKTOP_CAD_GUI_CANON.md,normative_gui,current,high,"Windows desktop/CAD baseline, layout, DPI, keyboard, docking.",used_as_shell_baseline
SRC-007,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/docs/18_PNEUMOAPP_WINDOWS_GUI_SPEC.md,normative_gui,current,high,Project-specific Windows desktop GUI contract.,used_as_project_gui_contract
SRC-008,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/docs/context/desktop_web_parity_map.json,normative_machine,current,medium,Machine-readable migration contract web->desktop.,reconciled_into_migration_matrix
SRC-009,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/docs/context/DESKTOP_WEB_PARITY_SUMMARY.md,normative_human,current,medium,Human-readable parity summary for web->desktop routes.,used_for_migration_explanations
SRC-010,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/docs/12_AI_Wishlist_Canonical_Omnibus_2026-04-08.md,historical_backlog,current,medium,AI-curated wishlist omnibus.,reconciled_into_backlog
SRC-011,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/docs/context/AI_SNAPSHOT_WORKING_DELTA_2026-04-08.md,snapshot_delta,current,medium,Snapshot delta and open gaps.,reconciled_as_historical_evidence
SRC-012,attached_prompt,SOURCE_CONTEXT/prompt_gui_windows_cad_pneumo_augmented_v2_2026-04-13.md,foundational_gui_prompt,2026-04-13,medium,Foundational desktop GUI prompt used earlier in project.,reconciled_into_current_package
SRC-013,attached_gui_layer,pneumo_gui_codex_design_v13_ring_editor_migration/*,historical_import,2026-04,medium,Detailed WS-RING layer.,used_as_ws_ring_detail
SRC-014,attached_gui_layer,pneumo_gui_codex_design_v14_suite_consumer_contract/*,historical_import,2026-04,medium,Detailed WS-SUITE layer.,used_as_ws_suite_detail
SRC-015,attached_gui_layer,pneumo_gui_codex_design_v15_baseline_consumer_contract/*,historical_import,2026-04,medium,Detailed WS-BASELINE layer.,used_as_ws_baseline_detail
SRC-016,attached_gui_layer,pneumo_gui_codex_design_v16_optimization_consumer_contract/*,historical_import,2026-04,medium,Detailed WS-OPTIMIZATION layer.,used_as_ws_optimization_detail
