node_id,workspace,layer,node_kind,label,source_file,source_id,evidence_status,semantics_status,notes
IN-TASK-SELECT-GROUP,WS-INPUTS,optimized,task,Выбрать группу входных данных,manual_operational_model,IN-TASK-SELECT-GROUP,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-EDIT-GEOMETRY,WS-INPUTS,optimized,task,"Отредактировать геометрию, раму и массы",manual_operational_model,IN-TASK-EDIT-GEOMETRY,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-SELECT-SPRING-CONFIG,WS-INPUTS,optimized,task,Выбрать конфигурацию пружин по углу,manual_operational_model,IN-TASK-SELECT-SPRING-CONFIG,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-ENABLE-LEVELING,WS-INPUTS,optimized,task,Включить или отключить выравнивание пружинами,manual_operational_model,IN-TASK-ENABLE-LEVELING,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-EDIT-SYMMETRY,WS-INPUTS,optimized,task,Установить или снять зеркальную симметрию лево/право,manual_operational_model,IN-TASK-EDIT-SYMMETRY,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-EDIT-CYL-POINTS,WS-INPUTS,optimized,task,Отредактировать точки крепления и ограничения цилиндров,manual_operational_model,IN-TASK-EDIT-CYL-POINTS,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-OPEN-TWIN,WS-INPUTS,optimized,task,Открыть графический двойник и схему,manual_operational_model,IN-TASK-OPEN-TWIN,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-VALIDATE,WS-INPUTS,optimized,task,Проверить входные данные,manual_operational_model,IN-TASK-VALIDATE,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-SAVE,WS-INPUTS,optimized,task,Сохранить validated snapshot,manual_operational_model,IN-TASK-SAVE,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-HANDOFF,WS-INPUTS,optimized,task,Передать validated snapshot дальше по pipeline,manual_operational_model,IN-TASK-HANDOFF,designed_target,pending,Operational node for internal action→feedback graph.
