FINDING_ID,SCOPE,AREA,SEVERITY,STATEMENT,STATUS,NOTES
F-001,local,inventory,high,"Local live git checkout is absent; local state is an artifact warehouse (spec archives, context files, release/source ZIPs), not a working repository checkout.",gap,Affects ability to audit current local source state directly.
F-002,local_v33,mandatory_files,low,v33 contains all mandatory prompt output files listed by the canonical prompt.,aligned,Confirmed by V33__PROMPT_MANDATORY_FILES_AUDIT.csv.
F-003,local_v33,integrity,high,"GUI_SPEC.yaml in v33 still carries package_id `...V32`, so v33 is not fully self-consistent.",conflict,Internal version drift remains in a primary machine-readable file.
F-004,local_v33,integrity,medium,PACKAGE_SELFCHECK_REPORT.json still reports `active_label_drift_absent = false` with stale label hit in README.md.,conflict,Package self-reports unfinished label cleanup.
F-005,local_v33,connector_reconciliation,medium,v33 explicitly marks connector reconciliation as covered_partially because tree-listing connector API was not available; package relies on raw GitHub docs plus local attached context.,partial,"Good faith reconciliation, but not full connected-source proof."
F-006,remote_repo,canon_priority,high,Remote repo current canon is docs-driven and prioritizes `17/18` plus imported GUI layers v3/v13/v12; v33 is not yet installed as active repo canon.,gap,Repo still points to older imported GUI layers as active reference.
F-007,remote_repo,desktop_target,high,"Remote repo canon clearly targets native Windows desktop shell with parity gate, ring editor as single scenario source, first-class diagnostics and honest graphics.",aligned,Target contract matches v33 intent.
F-008,remote_repo,runtime_state,high,"Remote runtime state remains Streamlit-heavy and transitional, which is only partial compliance with the target desktop contract.",partial,Current implementation lags behind target architecture.
F-009,remote_repo,open_p0,high,"Remote TODO keeps P0 gaps open on ring/road correctness, post-run CPU, dt-aware playback, truthful cylinders only after packaging contract, and road width canon.",gap,Project is not runtime-closed against v33.
F-010,project_vs_v33,scenario_truth,high,Repo canon and v33 agree that the ring editor must be the single scenario source of truth.,aligned,Docs agree; runtime enforcement remains partial in broader project context.
F-011,project_vs_v33,diagnostics,high,Repo canon and v33 agree diagnostics must be first-class and always visible via `Собрать диагностику`.,aligned,Design-level alignment is strong.
F-012,project_vs_v33,graphics_truth,high,"Repo canon and v33 agree on honest graphics / truth-state model, but producer-side hardpoints and cylinder packaging remain open.",partial,"Design aligned, runtime evidence incomplete."
F-013,project_vs_v33,parity,high,"Repo canon and v33 both require web->desktop parity as a release gate, but runtime proof is still partial.",partial,Documentation aligned; acceptance evidence incomplete.
F-014,knowledge_base,producer_truth_priority,high,"Local project knowledge base keeps solver->export->animator truth-contract as the main unresolved frontier, and v33 preserves it as open gaps.",aligned,Strong thematic alignment.
F-015,knowledge_base,objective_contract,medium,Local project knowledge base contains later HF-stage fixes around optimization objective contracts; v33 covers optimization contracts conceptually but cannot prove those later runtime states.,partial,Spec alignment good; runtime evidence from later releases sits outside v33 package.
F-016,overall,runtime_closure,critical,"Project is not compliant enough to claim runtime closure against v33: producer-side truth, measured performance trace and full Windows visual acceptance remain open.",gap,Main release-gate blocker.
