REQ_ID,TITLE,CATEGORY,PRIORITY,STATUS,SOURCE_IDS,SCREEN_IDS,UI_IDS,ACC_IDS,TST_IDS,NOTES
REQ-001,Единый канонический реестр ключей и запрет runtime-алиасов,core_data,P0,covered,SRC-000;SRC-001;SRC-002;SRC-003,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04;SUITE-SCR-01;SUITE-SCR-02;SUITE-SCR-03;SUITE-SCR-04;SUITE-SCR-05;SUITE-SCR-06;BASELINE-SCR-01;BASELINE-SCR-02;BASELINE-SCR-03;BASELINE-SCR-04;BASELINE-SCR-05;BASELINE-SCR-06;BASELINE-SCR-07;OPT-SCR-01;OPT-SCR-02;OPT-SCR-03;OPT-SCR-04;OPT-SCR-05;OPT-SCR-06;OPT-SCR-07;OPT-SCR-08;AN-SCR-01;AN-SCR-02;AN-SCR-03;AN-SCR-04;AN-SCR-05;AN-SCR-06;AN-SCR-07;AN-SCR-08;AM-SCR-01;AM-SCR-02;AM-SCR-03;AM-SCR-04;AM-SCR-05;AM-SCR-06;AM-SCR-07;AM-SCR-08;DI-SCR-01;DI-SCR-02;DI-SCR-03;DI-SCR-04;DI-SCR-05;DI-SCR-06;DI-SCR-07;DI-SCR-08;PROJECT-SCR-01;PROJECT-SCR-02;PROJECT-SCR-03;INPUTS-SCR-01;INPUTS-SCR-02;INPUTS-SCR-03;INPUTS-SCR-04;INPUTS-SCR-05;INPUTS-SCR-06;SHELL-SCR-01;SETTINGS-SCR-01;TOOLS-SCR-01,RG-FLD-SCENARIO-NAME;RG-FLD-CLOSURE-POLICY;RG-FLD-V0;RG-FLD-DX;RG-FLD-LAPS;RG-FLD-SEED;RG-FLD-ROAD-WIDTH;RG-BTN-GENERATE-PREVIEW;RG-SEGMENT-LIST;RG-BTN-ADD-SEGMENT;RG-BTN-DUP-SEGMENT;RG-BTN-DELETE-SEGMENT,ACC-001,TST-001,"Запрещены алиасы, дубли и invented parameters; единый контракт ключей обязателен."
REQ-002,Проект является основной пользовательской сущностью и хранится в файле,project_model,P0,covered,SRC-000;SRC-007;SRC-021,PROJECT-SCR-01;PROJECT-SCR-02;PROJECT-SCR-03;SHELL-SCR-01,SH-TITLE-APP-ICON;SH-TITLE-APP-NAME;SH-TITLE-PROJECT-NAME;SH-TITLE-DIRTY-BADGE;SH-TITLE-LAYOUT-PICKER;SH-TITLE-WINDOW-CONTROLS;SH-WS-SWITCHER;SH-CMD-SEARCH;SH-SEARCH-FILTER;SH-CONTEXT-TITLE;SH-PRIMARY-ACTION;SH-SECONDARY-ACTIONS;SH-DIAGNOSTICS;SH-MSG-SEVERITY;SH-MSG-TEXT;SH-MSG-DETAILS;SH-MSG-DISMISS;SH-BROWSER-TABS;SH-BROWSER-TREE;SH-BROWSER-LIST,ACC-002,TST-002,"Пользователь работает с проектом, а не с набором случайных JSON/CSV."
REQ-003,Для каждого класса сущностей существует один source-of-truth,core_data,P0,covered,SRC-000;SRC-001;SRC-002;SRC-014;SRC-015;SRC-016;SRC-017;SRC-018;SRC-019;SRC-021;SRC-022;SRC-023;SRC-024;SRC-025;SRC-026,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04;SUITE-SCR-01;SUITE-SCR-02;SUITE-SCR-03;SUITE-SCR-04;SUITE-SCR-05;SUITE-SCR-06;BASELINE-SCR-01;BASELINE-SCR-02;BASELINE-SCR-03;BASELINE-SCR-04;BASELINE-SCR-05;BASELINE-SCR-06;BASELINE-SCR-07;OPT-SCR-01;OPT-SCR-02;OPT-SCR-03;OPT-SCR-04;OPT-SCR-05;OPT-SCR-06;OPT-SCR-07;OPT-SCR-08;AN-SCR-01;AN-SCR-02;AN-SCR-03;AN-SCR-04;AN-SCR-05;AN-SCR-06;AN-SCR-07;AN-SCR-08;AM-SCR-01;AM-SCR-02;AM-SCR-03;AM-SCR-04;AM-SCR-05;AM-SCR-06;AM-SCR-07;AM-SCR-08;DI-SCR-01;DI-SCR-02;DI-SCR-03;DI-SCR-04;DI-SCR-05;DI-SCR-06;DI-SCR-07;DI-SCR-08;PROJECT-SCR-01;PROJECT-SCR-02;PROJECT-SCR-03;INPUTS-SCR-01;INPUTS-SCR-02;INPUTS-SCR-03;INPUTS-SCR-04;INPUTS-SCR-05;INPUTS-SCR-06;SHELL-SCR-01;SETTINGS-SCR-01;TOOLS-SCR-01,RG-FLD-SCENARIO-NAME;RG-FLD-CLOSURE-POLICY;RG-FLD-V0;RG-FLD-DX;RG-FLD-LAPS;RG-FLD-SEED;RG-FLD-ROAD-WIDTH;RG-BTN-GENERATE-PREVIEW;RG-SEGMENT-LIST;RG-BTN-ADD-SEGMENT;RG-BTN-DUP-SEGMENT;RG-BTN-DELETE-SEGMENT,ACC-003,TST-003,Каждый класс данных имеет один главный источник истины; derived copies явно помечены.
REQ-004,Графика обязана использовать truth-state solver_confirmed/source_data_confirmed/approximate_inferred_with_warning/unavailable,graphics_truth,P0,covered,SRC-000;SRC-012;SRC-018;SRC-019;SRC-024;SRC-025,AN-SCR-01;AN-SCR-02;AN-SCR-03;AN-SCR-04;AN-SCR-05;AN-SCR-06;AN-SCR-07;AN-SCR-08;AM-SCR-01;AM-SCR-02;AM-SCR-03;AM-SCR-04;AM-SCR-05;AM-SCR-06;AM-SCR-07;AM-SCR-08;DI-SCR-01;DI-SCR-02;DI-SCR-03;DI-SCR-04;DI-SCR-05;DI-SCR-06;DI-SCR-07;DI-SCR-08;INPUTS-SCR-01;INPUTS-SCR-02;INPUTS-SCR-03;INPUTS-SCR-04;INPUTS-SCR-05;INPUTS-SCR-06,AN-TXT-TITLE;AN-BADGE-RUN-ID;AN-BADGE-RUN-MODE;AN-BADGE-BASELINE-HASH;AN-BADGE-OBJECTIVE-HASH;AN-BADGE-SNAPSHOT-HASH;AN-BTN-OPEN-HISTORY;AN-BTN-OPEN-DIAGNOSTICS;AN-TXT-CONTRACT-TITLE;AN-FLD-RUN-STATUS;AN-FLD-RUN-START;AN-FLD-RUN-END;AN-FLD-HARD-GATE-KEY;AN-FLD-HARD-GATE-TOL;AN-FLD-BEST-CANDIDATE;AN-BANNER-MISMATCH;AN-TABLE-CONTRACT-DIMS;AN-BTN-OPEN-BASELINE;AN-BTN-BUILD-COMPARE;AN-BTN-TO-RESULTS,ACC-004,TST-004,Каждая графическая поверхность маркирует источник и степень достоверности.
REQ-005,"При неполной геометрии допускается только честная approximate/degraded визуализация или unavailable, но не красивая ложь",graphics_truth,P0,covered,SRC-000;SRC-001;SRC-002;SRC-012;SRC-018;SRC-025;SRC-026,AM-SCR-01;AM-SCR-02;AM-SCR-03;AM-SCR-04;AM-SCR-05;AM-SCR-06;AM-SCR-07;AM-SCR-08,AM-TXT-TITLE;AM-BADGE-RUN-ID;AM-BADGE-RUN-MODE;AM-BADGE-BASELINE;AM-BADGE-OBJECTIVE;AM-BADGE-TRUTH;AM-BADGE-COMPARE;AM-BTN-OPEN-DIAG;AM-BTN-CAPTURE;AM-LBL-TESTS;AM-LIST-TESTS;AM-LBL-SEGMENTS;AM-LIST-SEGMENTS;AM-LBL-OBJECTS;AM-TREE-OBJECTS;AM-LBL-ARTIFACTS;AM-TREE-ARTIFACTS;AM-TXT-SELPATH;AM-TXT-STALELINK;AM-FILTER-TEST,ACC-005,TST-005,Animator и связанные виды не имеют права фантазировать геометрию без контракта.
REQ-006,Потеря существующей функциональности при web->desktop migration запрещена,migration,P0,covered,SRC-000;SRC-008;SRC-009;SRC-020,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04;SUITE-SCR-01;SUITE-SCR-02;SUITE-SCR-03;SUITE-SCR-04;SUITE-SCR-05;SUITE-SCR-06;BASELINE-SCR-01;BASELINE-SCR-02;BASELINE-SCR-03;BASELINE-SCR-04;BASELINE-SCR-05;BASELINE-SCR-06;BASELINE-SCR-07;OPT-SCR-01;OPT-SCR-02;OPT-SCR-03;OPT-SCR-04;OPT-SCR-05;OPT-SCR-06;OPT-SCR-07;OPT-SCR-08;AN-SCR-01;AN-SCR-02;AN-SCR-03;AN-SCR-04;AN-SCR-05;AN-SCR-06;AN-SCR-07;AN-SCR-08;AM-SCR-01;AM-SCR-02;AM-SCR-03;AM-SCR-04;AM-SCR-05;AM-SCR-06;AM-SCR-07;AM-SCR-08;DI-SCR-01;DI-SCR-02;DI-SCR-03;DI-SCR-04;DI-SCR-05;DI-SCR-06;DI-SCR-07;DI-SCR-08;PROJECT-SCR-01;PROJECT-SCR-02;PROJECT-SCR-03;INPUTS-SCR-01;INPUTS-SCR-02;INPUTS-SCR-03;INPUTS-SCR-04;INPUTS-SCR-05;INPUTS-SCR-06;SHELL-SCR-01;SETTINGS-SCR-01;TOOLS-SCR-01,RG-FLD-SCENARIO-NAME;RG-FLD-CLOSURE-POLICY;RG-FLD-V0;RG-FLD-DX;RG-FLD-LAPS;RG-FLD-SEED;RG-FLD-ROAD-WIDTH;RG-BTN-GENERATE-PREVIEW;RG-SEGMENT-LIST;RG-BTN-ADD-SEGMENT;RG-BTN-DUP-SEGMENT;RG-BTN-DELETE-SEGMENT,ACC-006,TST-006,Новая desktop-оболочка не может терять поддерживаемые web-функции молча.
REQ-007,Приложение проектируется как нативный Windows desktop shell на Qt6/PySide6,shell,P0,covered,SRC-000;SRC-006;SRC-007;SRC-020,SHELL-SCR-01,SH-TITLE-APP-ICON;SH-TITLE-APP-NAME;SH-TITLE-PROJECT-NAME;SH-TITLE-DIRTY-BADGE;SH-TITLE-LAYOUT-PICKER;SH-TITLE-WINDOW-CONTROLS;SH-WS-SWITCHER;SH-CMD-SEARCH;SH-SEARCH-FILTER;SH-CONTEXT-TITLE;SH-PRIMARY-ACTION;SH-SECONDARY-ACTIONS;SH-DIAGNOSTICS;SH-MSG-SEVERITY;SH-MSG-TEXT;SH-MSG-DETAILS;SH-MSG-DISMISS;SH-BROWSER-TABS;SH-BROWSER-TREE;SH-BROWSER-LIST,ACC-007,TST-007,"Shell desktop-first: standard titlebar, snap, DPI, docking, keyboard-first."
REQ-008,"Главное окно имеет верхнее меню, command search, левое дерево, центральную рабочую область, правый inspector и нижнюю status/progress strip",shell,P0,covered,SRC-000;SRC-006;SRC-007;SRC-020,SHELL-SCR-01,SH-TITLE-APP-ICON;SH-TITLE-APP-NAME;SH-TITLE-PROJECT-NAME;SH-TITLE-DIRTY-BADGE;SH-TITLE-LAYOUT-PICKER;SH-TITLE-WINDOW-CONTROLS;SH-WS-SWITCHER;SH-CMD-SEARCH;SH-SEARCH-FILTER;SH-CONTEXT-TITLE;SH-PRIMARY-ACTION;SH-SECONDARY-ACTIONS;SH-DIAGNOSTICS;SH-MSG-SEVERITY;SH-MSG-TEXT;SH-MSG-DETAILS;SH-MSG-DISMISS;SH-BROWSER-TABS;SH-BROWSER-TREE;SH-BROWSER-LIST,ACC-008,TST-008,Классическая CAD/CAE-компоновка обязательна.
REQ-009,Docking/undocking/floating/auto-hide/second-monitor/restore-layout обязательны,shell,P0,covered,SRC-000;SRC-006;SRC-007;SRC-020,SHELL-SCR-01,SH-TITLE-APP-ICON;SH-TITLE-APP-NAME;SH-TITLE-PROJECT-NAME;SH-TITLE-DIRTY-BADGE;SH-TITLE-LAYOUT-PICKER;SH-TITLE-WINDOW-CONTROLS;SH-WS-SWITCHER;SH-CMD-SEARCH;SH-SEARCH-FILTER;SH-CONTEXT-TITLE;SH-PRIMARY-ACTION;SH-SECONDARY-ACTIONS;SH-DIAGNOSTICS;SH-MSG-SEVERITY;SH-MSG-TEXT;SH-MSG-DETAILS;SH-MSG-DISMISS;SH-BROWSER-TABS;SH-BROWSER-TREE;SH-BROWSER-LIST,ACC-009,TST-009,Layout persistence и second-monitor flow входят в определение готовности.
REQ-010,"Клавиатурная доступность, видимый focus, F6 между крупными регионами и screen-reader compatibility обязательны",accessibility,P0,covered,SRC-000;SRC-006;SRC-007;SRC-020,SHELL-SCR-01,SH-TITLE-APP-ICON;SH-TITLE-APP-NAME;SH-TITLE-PROJECT-NAME;SH-TITLE-DIRTY-BADGE;SH-TITLE-LAYOUT-PICKER;SH-TITLE-WINDOW-CONTROLS;SH-WS-SWITCHER;SH-CMD-SEARCH;SH-SEARCH-FILTER;SH-CONTEXT-TITLE;SH-PRIMARY-ACTION;SH-SECONDARY-ACTIONS;SH-DIAGNOSTICS;SH-MSG-SEVERITY;SH-MSG-TEXT;SH-MSG-DETAILS;SH-MSG-DISMISS;SH-BROWSER-TABS;SH-BROWSER-TREE;SH-BROWSER-LIST,ACC-010,TST-010,"Keyboard-first, access keys и screen-reader semantics входят в definition of done."
