workspace,current_label,issue_type,recommended_label,rationale,priority
SHELL,GUI диагностики,термин_GUI_и_двусмысленность,Диагностика,"first-class функция, без служебного жаргона",P0
SHELL,GUI отправки результатов,ложная_равноправность_маршрута,Отправить архив диагностики,действие второго шага после сборки bundle,P0
SHELL,Compare Viewer,англицизм_и_неясная_роль,Подробное сравнение результатов,advanced compare route,P1
SHELL,Desktop Mnemo,англицизм_без_роли,Мнемосхема,понятная инженерная роль окна,P1
WS-INPUTS,2 springs per corner,англицизм_и_скрытый_смысл,На угол установлены две пружины: контур C1 и контур C2,пользователь должен видеть конфигурацию явно,P0
WS-INPUTS,Auto leveling by springs,англицизм_и_недостаточная_объяснимость,Выравнивание кузова пружинами активно,режим должен быть видим и объяснен,P0
WS-INPUTS,Leveling residual,обозначение_без_контекста,"Остаточная разница после выравнивания, миллиметры",нужно показать насколько выровнено,P0
WS-SUITE,Stage,обозначение_без_смысла,Стадия первого входа испытания,разделить runtime stage и suite stage,P0
WS-SUITE,Save snapshot,англицизм,Сохранить валидированный снимок набора,объяснить что именно сохраняется,P1
WS-BASELINE,Auto-update baseline,англицизм_частично,Автоматически обновлять active baseline,сразу виден эффект политики,P1
WS-OPTIMIZATION,StageRunner,термин_без_пояснения,Оптимизация по стадиям (StageRunner),оставить имя технологии вторым планом,P0
WS-OPTIMIZATION,Distributed coordinator,термин_без_пояснения,Распределённый режим оптимизации,роль режима понятнее,P0
WS-OPTIMIZATION,Hard gate,англицизм,Жёсткое ограничение,инженерный смысл вместо жаргона,P0
WS-OPTIMIZATION,Underfill,англицизм,Недобор бюджета стадии,объяснить причину прямо,P1
WS-OPTIMIZATION,Gate reason preview,англицизм,Причина отсечения кандидатов,видимая explainability,P1
WS-ANALYSIS,current / historical / stale,англицизм_и_сжатость,Текущий / исторический / устаревший контекст,баннер должен говорить по-русски и прямо,P0
WS-ANIMATOR,axis-only honesty mode,англицизм,"Только ось цилиндра, без полной геометрии",честный degraded mode,P0
WS-ANIMATOR,full truth mode,англицизм,Полная подтверждённая геометрия,статус подтверждённости визуализации,P0
WS-DIAGNOSTICS,Collect diagnostics,англицизм,Собрать диагностику,единственный доминирующий вход,P0
WS-DIAGNOSTICS,Bundle freshness,англицизм,Свежесть архива диагностики,понятная пользователю формулировка,P1
