src,dst,workspace,layer,edge_type,action,feedback,cost,ambiguity,notes
tree_root,WS-PROJECT_tree_entry,WS-PROJECT,optimized,tree_select,выбрать_узел_в_дереве,узел_дерева_подсвечен,0.4,0.0,
WS-PROJECT_tree_entry,WS-PROJECT_root,WS-PROJECT,optimized,direct_open,открыть_рабочее_пространство,рабочее_пространство_открыто,0.55,0.0,прямое открытие из дерева
WS-PROJECT_root,WS-PROJECT_container_левое_дерево,WS-PROJECT,optimized,containment,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_container_центральная_карточка,WS-PROJECT,optimized,containment,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_container_правая_панель_свойств,WS-PROJECT,optimized,containment,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_container_нижняя_строка_состояния,WS-PROJECT,optimized,containment,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_task_1,WS-PROJECT,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-PROJECT_task_1,WS-PROJECT_task_2,WS-PROJECT,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-PROJECT_task_2,WS-PROJECT_task_3,WS-PROJECT,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-PROJECT_task_3,WS-PROJECT_task_4,WS-PROJECT,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-PROJECT_task_1,WS-PROJECT_check_1,WS-PROJECT,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-PROJECT_task_2,WS-PROJECT_check_2,WS-PROJECT,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-PROJECT_task_3,WS-PROJECT_check_3,WS-PROJECT,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-PROJECT_task_4,WS-PROJECT_check_4,WS-PROJECT,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-PROJECT_check_1,WS-PROJECT_block_1,WS-PROJECT,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-PROJECT_block_1,WS-PROJECT_task_1,WS-PROJECT,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-PROJECT_check_2,WS-PROJECT_block_2,WS-PROJECT,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-PROJECT_block_2,WS-PROJECT_task_2,WS-PROJECT,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-PROJECT_check_3,WS-PROJECT_block_3,WS-PROJECT,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-PROJECT_block_3,WS-PROJECT_task_3,WS-PROJECT,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-PROJECT_task_1,WS-PROJECT_feedback_1,WS-PROJECT,optimized,feedback,,проект открыт,0.3,0.0,
WS-PROJECT_task_2,WS-PROJECT_feedback_2,WS-PROJECT,optimized,feedback,,последний проект восстановлен,0.3,0.0,
WS-PROJECT_task_3,WS-PROJECT_feedback_3,WS-PROJECT,optimized,feedback,,здоровье проекта норма,0.3,0.0,
WS-PROJECT_task_4,WS-PROJECT_feedback_4,WS-PROJECT,optimized,feedback,,следующее действие рекомендовано,0.3,0.0,
WS-PROJECT_task_4,WS-PROJECT_feedback_5,WS-PROJECT,optimized,feedback,,несовместимость объяснена,0.3,0.0,
WS-PROJECT_root,WS-PROJECT_ctl_1,WS-PROJECT,optimized,availability,,,0.1,0.0,
