group,item
good,"Канон проекта уже правильно закрепляет desktop-first маршрут, first-class диагностику и сценарный центр."
good,"Страница оптимизации уже схлопнута в один активный режим запуска за раз, без конкурирующих кнопок."
good,Desktop Animator уже объяснён лучше других отдельных окон и имеет понятный follow/workflow-контекст.
good,"Отдельные инженерные окна не потеряны и не спрятаны, поэтому функциональность не исчезла."
good,"Compare, diagnostics и optimization имеют backend-основу, а не выглядят случайными декоративными кнопками."
bad,"Стартовый shell до сих пор ведёт себя скорее как каталог входов, чем как один сильный пользовательский маршрут."
bad,Редактор кольца ещё не воспринимается как доминирующий сценарный центр на первом экране.
bad,"Диагностика и отправка результатов выглядят как два конкурирующих направления, а не как этапы одной операции."
bad,Встроенное сравнение и Compare Viewer дублируют друг друга без ясной иерархии.
bad,Редактор исходных данных и Центр тестов недостаточно явно показаны как обязательные шаги до baseline и optimization.
bad,Desktop Mnemo и Центр desktop-инструментов видны слишком рано для обычного пользователя.
fix,Оставить на старте один доминирующий маршрут из 8 шагов: Исходные данные → Сценарии → Набор испытаний → Базовый прогон → Оптимизация → Анализ → Анимация → Диагностика.
fix,Поднять Редактор кольца в явный top-level сценарный центр и прямо пометить его как единственный источник сценариев.
fix,"Оставить одну заметную команду «Собрать диагностику», а отправку результатов увести внутрь Diagnostics как следующий шаг."
fix,"Сделать встроенное сравнение основным compare-режимом, а Compare Viewer — расширенным режимом из Анализа."
fix,"Обозначить Редактор исходных данных как master-copy входов, а Центр тестов — как consumer сценариев."
fix,Desktop Mnemo и Центр desktop-инструментов понизить до advanced-уровня и объяснять их роль короткой фразой прямо в shell.
fix,"На стартовом экране добавить короткий текстовый маршрут 'Что делать сначала / потом / позже', а не только набор кнопок."
