id,automation_id,название,тип,регион,прямоугольник_в_базовом_окне,tooltip_id,help_id,назначение,узел_пайплайна,видимость,доступность,клавиша_доступа,tab_index,workspace_owner,горячая_клавиша
SH-WS-SWITCHER,SH-WS-SWITCHER,Переключатель рабочего пространства,segmented_control,верхняя_командная_панель,"{""x"": {""значение"": 12, ""единица"": ""px""}, ""y"": {""значение"": 12, ""единица"": ""px""}, ""ширина"": {""значение"": 248, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-SH-WS-SWITCHER,HELP-SH-WS-SWITCHER,Выбор рабочего пространства без перехода через многоуровневое меню.,OPT-15,Всегда видим,Всегда доступен,Alt+Р,0,общие_регионы.верхняя_командная_панель,
SH-CMD-SEARCH,SH-CMD-SEARCH,Поиск команд,search_box,верхняя_командная_панель,"{""x"": {""значение"": 274, ""единица"": ""px""}, ""y"": {""значение"": 12, ""единица"": ""px""}, ""ширина"": {""значение"": 520, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-SH-CMD-SEARCH,HELP-SH-CMD-SEARCH,"Поиск команд, параметров, экранов, тестов, сценариев и диагностических действий.",OPT-15,Всегда видим,Всегда доступен,Alt+К,1,общие_регионы.верхняя_командная_панель,Ctrl+K
SH-PRIMARY-ACTION,SH-PRIMARY-ACTION,Главная кнопка текущего шага,primary_button,верхняя_командная_панель,"{""x"": {""значение"": 808, ""единица"": ""px""}, ""y"": {""значение"": 12, ""единица"": ""px""}, ""ширина"": {""значение"": 240, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-SH-PRIMARY-ACTION,HELP-SH-PRIMARY-ACTION,"Одна главная команда текущего шага pipeline: продолжить, добавить в испытания, запустить базовый прогон, запустить StageRunner, принять как baseline.",OPT-15,Всегда видим,Доступ зависит от валидности текущего шага,Alt+Д,2,общие_регионы.верхняя_командная_панель,Ctrl+Enter
SH-OBJECTIVE-CONTRACT,SH-OBJECTIVE-CONTRACT,Индикатор контракта целей и ограничений,contract_banner,верхняя_командная_панель,"{""x"": {""значение"": 1060, ""единица"": ""px""}, ""y"": {""значение"": 12, ""единица"": ""px""}, ""ширина"": {""значение"": 452, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-SH-OBJECTIVE-CONTRACT,HELP-SH-OBJECTIVE-CONTRACT,"Показывает активный objective stack, hard gate, baseline source и режим оптимизации.",OPT-15,"Видим в рабочих пространствах базового прогона, оптимизации, монитора и результатов",Доступен для чтения,,3,общие_регионы.верхняя_командная_панель,
SH-DIAG-BUTTON,SH-DIAG-BUTTON,Собрать диагностику,secondary_button,верхняя_командная_панель,"{""x"": {""значение"": 1524, ""единица"": ""px""}, ""y"": {""значение"": 12, ""единица"": ""px""}, ""ширина"": {""значение"": 216, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-SH-DIAG-BUTTON,HELP-DG-BTN-COLLECT,Всегда заметная команда сборки диагностического пакета.,OPT-15,Всегда видим,Всегда доступен,Alt+Г,4,общие_регионы.верхняя_командная_панель,Ctrl+Shift+D
SH-APP-MENU,SH-APP-MENU,Меню приложения и состояние проекта,button_cluster,верхняя_командная_панель,"{""x"": {""значение"": 1752, ""единица"": ""px""}, ""y"": {""значение"": 12, ""единица"": ""px""}, ""ширина"": {""значение"": 156, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-SH-APP-MENU,HELP-SH-APP-MENU,"Сохранение проекта, открытие проекта, параметры, инструменты, выход.",OPT-15,Всегда видим,Всегда доступен,Alt+Ф,5,общие_регионы.верхняя_командная_панель,
SH-NAV-TABS,SH-NAV-TABS,Вкладки левой панели,tab_strip,левая_панель,"{""x"": {""значение"": 0, ""единица"": ""px""}, ""y"": {""значение"": 64, ""единица"": ""px""}, ""ширина"": {""значение"": 304, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-SH-NAV-TABS,HELP-SH-NAV-TABS,"Переключение между путём работы, деревом проекта и историей.",OPT-14,Всегда видим в wide/standard/compact; выдвижная вкладка в narrow/micro,Всегда доступен,Alt+Л,10,общие_регионы.левая_панель,
SH-NAV-FILTER,SH-NAV-FILTER,Фильтр навигации,search_box,левая_панель,"{""x"": {""значение"": 12, ""единица"": ""px""}, ""y"": {""значение"": 112, ""единица"": ""px""}, ""ширина"": {""значение"": 280, ""единица"": ""px""}, ""высота"": {""значение"": 32, ""единица"": ""px""}}",TT-SH-NAV-FILTER,HELP-SH-NAV-FILTER,"Фильтр дерева по имени сценария, теста, run или артефакта.",OPT-14,Всегда видим,Всегда доступен,,11,общие_регионы.левая_панель,Ctrl+Shift+F
SH-NAV-TREE,SH-NAV-TREE,Дерево навигации,tree_view,левая_панель,"{""x"": {""значение"": 0, ""единица"": ""px""}, ""y"": {""значение"": 152, ""единица"": ""px""}, ""ширина"": {""значение"": 304, ""единица"": ""px""}, ""высота"": {""значение"": 896, ""единица"": ""px""}}",TT-SH-NAV-TREE,HELP-SH-NAV-TREE,"Главное дерево пути работы, проекта или истории с индикаторами статуса.",OPT-14,Всегда видим,Всегда доступен,,12,общие_регионы.левая_панель,
SH-INSPECTOR-TABS,SH-INSPECTOR-TABS,Вкладки правой панели,tab_strip,правая_панель,"{""x"": {""значение"": 1568, ""единица"": ""px""}, ""y"": {""значение"": 64, ""единица"": ""px""}, ""ширина"": {""значение"": 352, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-SH-INSPECTOR-TABS,HELP-SH-INSPECTOR-TABS,"Вкладки «Свойства», «Справка», «Проверка» и «Связи».",OPT-13,Всегда видим,Всегда доступен,Alt+П,20,общие_регионы.правая_панель,
SH-INSPECTOR-HEADER,SH-INSPECTOR-HEADER,Заголовок выбранного элемента,summary_header,правая_панель,"{""x"": {""значение"": 1568, ""единица"": ""px""}, ""y"": {""значение"": 104, ""единица"": ""px""}, ""ширина"": {""значение"": 352, ""единица"": ""px""}, ""высота"": {""значение"": 64, ""единица"": ""px""}}",TT-SH-INSPECTOR-HEADER,HELP-SH-INSPECTOR-HEADER,"Показывает имя выбранного объекта, его источник и статус достоверности.",OPT-13,Всегда видим,Только чтение,,21,общие_регионы.правая_панель,
SH-INSPECTOR-CONTENT,SH-INSPECTOR-CONTENT,Содержимое правой панели,scroll_container,правая_панель,"{""x"": {""значение"": 1568, ""единица"": ""px""}, ""y"": {""значение"": 168, ""единица"": ""px""}, ""ширина"": {""значение"": 352, ""единица"": ""px""}, ""высота"": {""значение"": 880, ""единица"": ""px""}}",TT-SH-INSPECTOR-CONTENT,HELP-SH-INSPECTOR-CONTENT,"Редактирование свойств, развёрнутая справка и локальные предупреждения.",OPT-13,Всегда видим,Доступ зависит от выбранного элемента,,22,общие_регионы.правая_панель,
