id,текст,правило,связанная_помощь
TT-SH-WS-SWITCHER,Переключатель рабочего пространства,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-WS-SWITCHER
TT-SH-CMD-SEARCH,Поиск команд,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-CMD-SEARCH
TT-SH-PRIMARY-ACTION,Главная кнопка текущего шага,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-PRIMARY-ACTION
TT-SH-OBJECTIVE-CONTRACT,Индикатор контракта целей и ограничений,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-OBJECTIVE-CONTRACT
TT-SH-DIAG-BUTTON,Собрать диагностику,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-DG-BTN-COLLECT
TT-SH-APP-MENU,Меню приложения и состояние проекта,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-APP-MENU
TT-SH-NAV-TABS,Вкладки левой панели,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-NAV-TABS
TT-SH-NAV-FILTER,Фильтр навигации,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-NAV-FILTER
TT-SH-NAV-TREE,Дерево навигации,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-NAV-TREE
TT-SH-INSPECTOR-TABS,Вкладки правой панели,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-INSPECTOR-TABS
TT-SH-INSPECTOR-HEADER,Заголовок выбранного элемента,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-INSPECTOR-HEADER
TT-SH-INSPECTOR-CONTENT,Содержимое правой панели,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-INSPECTOR-CONTENT
TT-SH-STATUS-MODE,Текущий режим,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-STATUS-MODE
TT-SH-STATUS-STAGE,Текущая стадия,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-STATUS-STAGE
TT-SH-STATUS-PROGRESS,Нижний индикатор прогресса,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-STATUS-PROGRESS
TT-SH-STATUS-WARNINGS,Индикатор предупреждений,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-STATUS-WARNINGS
TT-SH-STATUS-LOGS,Журнал и диагностика,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-STATUS-LOGS
TT-PJ-STEP-BAR,Линейка шагов pipeline,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-STEP-BAR
TT-PJ-CARD-PROJECT-STATE,Карточка состояния проекта,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-CARD-PROJECT-STATE
TT-PJ-CARD-LAST-BASELINE,Карточка последнего baseline,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-CARD-LAST-BASELINE
TT-PJ-CARD-LAST-RUN,Карточка последнего запуска,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-CARD-LAST-RUN
TT-PJ-CARD-DIAGNOSTICS,Карточка диагностики,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-CARD-DIAGNOSTICS
TT-PJ-CARD-CONTRACT-WARNINGS,Карточка предупреждений контракта,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-CARD-CONTRACT-WARNINGS
TT-PJ-CARD-QUICK-METRICS,Карточка быстрых метрик,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-CARD-QUICK-METRICS
TT-PJ-BTN-CONTINUE,Продолжить работу,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-BTN-CONTINUE
TT-PJ-BTN-OPEN-INPUTS,Открыть исходные данные,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-BTN-OPEN-INPUTS
TT-PJ-BTN-OPEN-RING,Открыть редактор кольца,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-BTN-OPEN-RING
TT-PJ-BTN-OPEN-SUITE,Открыть матрицу испытаний,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-BTN-OPEN-SUITE
TT-PJ-BTN-OPEN-OPT,Открыть центр оптимизации,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-PJ-BTN-OPEN-OPT
TT-ID-TAB-GEOMETRY,Геометрия,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-TAB-GEOMETRY
TT-ID-TAB-PNEUMATICS,Пневматика,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-TAB-PNEUMATICS
TT-ID-TAB-MASS,Массы и инерции,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-TAB-MASS
TT-ID-TAB-MODES,Режимы и флаги,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-TAB-MODES
TT-ID-PARAM-FILTER,Фильтр параметров,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-PARAM-FILTER
TT-ID-SHOW-ONLY-OPT,Показывать только оптимизируемые,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-SHOW-ONLY-OPT
TT-ID-PARAM-TABLE,Таблица параметров,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-PARAM-TABLE
TT-ID-PREVIEW-SWITCH,Переключатель графического представления,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-PREVIEW-SWITCH
TT-ID-PREVIEW-CANVAS,Графическое представление входных данных,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-PREVIEW-CANVAS
TT-ID-PREVIEW-LEGEND,Легенда и источник представления,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-PREVIEW-LEGEND
TT-ID-VALIDATION-BANNER,Баннер локальной валидации,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-VALIDATION-BANNER
TT-ID-BTN-AUTO-MIDSTROKE,Автоподбор к середине хода,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-BTN-AUTO-MIDSTROKE
TT-ID-MIRROR-TOGGLE,Зеркалировать левый и правый борта,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-MIRROR-TOGGLE
TT-ID-ASYMMETRY-TOGGLE,Разрешить асимметрию,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ID-ASYMMETRY-TOGGLE
TT-RG-FLD-SCENARIO-NAME,Название сценария,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-SCENARIO-NAME
TT-RG-FLD-CLOSURE-POLICY,Политика замыкания кольца,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-CLOSURE-POLICY
TT-RG-FLD-V0,"Начальная скорость, километры в час","Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-V0
