src,dst,workspace,layer,edge_kind,weight,evidence_status,why
TREE-WS-INPUTS,CUR-IN-HOME-LAUNCH,WS-INPUTS,current,navigates,1.0,evidence_bound,Текущий route и дефицит видимости.
CUR-IN-HOME-LAUNCH,CUR-IN-NUMERIC-ONLY,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
CUR-IN-NUMERIC-ONLY,CUR-IN-C1C2-HIDDEN,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
CUR-IN-C1C2-HIDDEN,CUR-IN-LEVELING-HIDDEN,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
CUR-IN-LEVELING-HIDDEN,CUR-IN-SYMMETRY-HIDDEN,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
CUR-IN-SYMMETRY-HIDDEN,CUR-IN-TWIN-PARTIAL,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
CUR-IN-TWIN-PARTIAL,CUR-IN-VALIDATE-SAVE,WS-INPUTS,current,task_flow,1.2,evidence_bound,Текущий route и дефицит видимости.
TREE-WS-INPUTS,ROOT-WS-INPUTS,WS-INPUTS,optimized,open_direct,0.35,designed_target,Прямой вход и обязательный shell.
ROOT-WS-INPUTS,DOCK-TREE-WS-INPUTS,WS-INPUTS,optimized,contains,0.12,designed_target,Прямой вход и обязательный shell.
ROOT-WS-INPUTS,DOCK-INSPECTOR-WS-INPUTS,WS-INPUTS,optimized,contains,0.12,designed_target,Прямой вход и обязательный shell.
ROOT-WS-INPUTS,DOCK-STATUS-WS-INPUTS,WS-INPUTS,optimized,contains,0.12,designed_target,Прямой вход и обязательный shell.
ROOT-WS-INPUTS,PROJECT-SCR-01,WS-INPUTS,optimized,navigates,0.18,designed_target,Рабочее пространство раскрывается в режимы/экраны.
PROJECT-SCR-01,PR-HEADER,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
PROJECT-SCR-01,PR-ACTION,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
PROJECT-SCR-01,PR-STATUS,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
PROJECT-SCR-01,PR-RECENT,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
PROJECT-SCR-01,PR-RUNS,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
PROJECT-SCR-01,PR-FOOTER,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
ROOT-WS-INPUTS,PROJECT-SCR-02,WS-INPUTS,optimized,navigates,0.18,designed_target,Рабочее пространство раскрывается в режимы/экраны.
PROJECT-SCR-02,PR-HEADER,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
PROJECT-SCR-02,PR-RECENT,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
PROJECT-SCR-02,PR-STATUS,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
PROJECT-SCR-02,PR-FOOTER,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
ROOT-WS-INPUTS,PROJECT-SCR-03,WS-INPUTS,optimized,navigates,0.18,designed_target,Рабочее пространство раскрывается в режимы/экраны.
PROJECT-SCR-03,PR-HEADER,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
PROJECT-SCR-03,PR-ACTION,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
PROJECT-SCR-03,PR-STATUS,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
PROJECT-SCR-03,PR-FOOTER,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
ROOT-WS-INPUTS,INPUTS-SCR-01,WS-INPUTS,optimized,navigates,0.18,designed_target,Рабочее пространство раскрывается в режимы/экраны.
INPUTS-SCR-01,IN-HEADER,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
INPUTS-SCR-01,IN-GROUPS,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
INPUTS-SCR-01,IN-FORM,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
INPUTS-SCR-01,IN-TWIN,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
INPUTS-SCR-01,IN-VALID,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
INPUTS-SCR-01,IN-ACTIONS,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
ROOT-WS-INPUTS,INPUTS-SCR-02,WS-INPUTS,optimized,navigates,0.18,designed_target,Рабочее пространство раскрывается в режимы/экраны.
INPUTS-SCR-02,IN-HEADER,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
INPUTS-SCR-02,IN-GROUPS,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
INPUTS-SCR-02,IN-FORM,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
INPUTS-SCR-02,IN-TWIN,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
INPUTS-SCR-02,IN-ACTIONS,WS-INPUTS,optimized,contains,0.05,designed_target,Экран содержит region.
