id,название,рамка,фон,текст
STATE-DEFAULT,Обычное,граница_контрола,фон_рабочей_поверхности,текст_основной
STATE-HOVER,Наведение,граница_контрола,акцент_ослабленный,текст_основной
STATE-FOCUS,Клавиатурный фокус,рамка_фокуса,фон_рабочей_поверхности,текст_основной
STATE-DIRTY,"Изменено, но не зафиксировано логически",граница_выделения,акцент_ослабленный,текст_основной
STATE-VALID,Проверено без замечаний,граница_контрола,фон_успеха_ослабленный,текст_основной
STATE-WARNING,Предупреждение,граница_предупреждения,фон_предупреждения_ослабленный,текст_основной
STATE-ERROR,Ошибка,граница_ошибки,фон_ошибки_ослабленный,текст_основной
STATE-READONLY,Только чтение,граница_контрола,фон_отключённый,текст_вторичный
STATE-COMPUTED,Вычисляется,граница_контрола,фон_вторичной_панели,текст_вторичный
STATE-IN-DEVELOPMENT,В разработке,граница_предупреждения,фон_предупреждения_ослабленный,текст_основной
