gate_id,gate_name,rule,scope,severity
RG-GATE-001,Единственный источник сценарной истины,"В проекте нет второго пользовательского места, где можно редактировать геометрию того же сценария.",WS-RING;WS-SUITE,Блокирующий
RG-GATE-002,Сегмент 0 имеет явное начальное состояние,Поля старта кольца доступны и видимы только в контексте сегмента 0.,WS-RING,Блокирующий
RG-GATE-003,Сегменты 1..N редактируются как конец сегмента,Для сегментов 1..N начало derived и недоступно как независимый ввод.,WS-RING,Блокирующий
RG-GATE-004,Последний сегмент честно auto-close,Derived auto-close поля locked и сопровождаются объяснением.,WS-RING,Блокирующий
RG-GATE-005,Поворот задаётся явно,Есть перечисление прямо/влево/вправо и нет скрытого вывода типа сегмента по yaw_rate.,WS-RING;WS-ANIMATOR,Блокирующий
RG-GATE-006,Разгон/торможение не являются типом сегмента,Режим прохождения хранится отдельно от геометрии.,WS-RING;WS-SUITE,Блокирующий
RG-GATE-007,Поперечный уклон задаётся одним полем,Нет основного пользовательского режима с независимыми высотами левой и правой колеи.,WS-RING,Блокирующий
RG-GATE-008,Продольный профиль задаётся через старт и концы сегментов,Продольная геометрия не дублируется альтернативными скрытыми формами.,WS-RING,Блокирующий
RG-GATE-009,Есть обязательные графические двойники,"План, продольный профиль, поперечный профиль и диагностика шва видимы на текущем экране.",WS-RING,Блокирующий
RG-GATE-010,Все поля имеют единицы измерения и справку,Нет чисел без единиц и полей без tooltip/help.,ALL,Блокирующий
RG-GATE-011,Пустое состояние штатно,WS-RING корректно открывается без автоселекта сценария.,WS-RING,Обязательный
RG-GATE-012,Экспорт генерирует segment_id и road segments metadata,Consumer-слой аниматора и self-check может прочитать канонические сегментные метаданные.,WS-RING;WS-ANIMATOR,Блокирующий
RG-GATE-013,Связка в матрицу испытаний не дублирует геометрию,"WS-SUITE хранит ссылку на scenario export, а не вторичный источник истины.",WS-RING;WS-SUITE,Блокирующий
RG-GATE-014,Миграция web → desktop не теряет функций,Каждая старая web-функция сценарного контура имеет настольную точку входа и search-route.,WS-RING;GLOBAL,Блокирующий
RG-GATE-015,Шов кольца диагностируется на текущем экране,Проблема шва видна пользователю без просмотра логов.,WS-RING,Обязательный
RG-GATE-016,Экспорт с незамкнутым кольцом помечается явно,preview_open_only и seam_warning не маскируются под нормальный closed сценарий.,WS-RING,Блокирующий
RG-GATE-017,Аниматор и оптимизация потребляют только канонический экспорт,"Нет отдельного пользовательского обхода, который подаёт сценарий минуя ring editor export.",WS-ANIMATOR;WS-OPTIMIZATION,Блокирующий
