current_id,current_surface,current_role,evidence_status,canonical_target,role_delta,route_problem,target_open_rule,user_confusion_risk,action_recommendation,priority
CUR-SHELL-HOME,Главная heavy/home поверхность,overloaded_primary,covered_partially,WS-SHELL + top-level workflow surface,уменьшить как место запуска вторичных окон; оставить как обзор и быстрый вход,слишком много почти равноправных входов; ранняя энтропия выбора,запуск приложения -> shell -> дерево -> прямой вход в workspace,high,свернуть до обзорного экрана проекта и next action,P0
CUR-SHELL-OPT-PAGE,Отдельная страница «Оптимизация»,parallel_primary,covered_partially,WS-OPTIMIZATION,"оставить как инженерный центр оптимизации, но убрать дубли с heavy home","оптимизация живёт и на home, и на отдельной странице",прямое открытие из дерева -> WS-OPTIMIZATION,high,один shell-route к оптимизации; home оставляет только обзор/summary,P0
CUR-WIN-DIAG,GUI диагностики,fragmented_primary,launchpoint_only,WS-DIAGNOSTICS,сделать единственным доминирующим diagnostics-route,конкурирует с отдельной отправкой результатов,дерево -> Диагностика -> Собрать диагностику,high,оставить top-level workspace; send встроить внутрь,P0
CUR-WIN-SEND,GUI отправки результатов,competing_primary,launchpoint_only,secondary action inside WS-DIAGNOSTICS,понизить до вторичного шага после готового архива,выглядит как второй самостоятельный diagnostics-start,WS-DIAGNOSTICS -> bundle ready -> Отправить архив,high,убрать из первого ряда launchers; запускать из Diagnostics,P0
CUR-WIN-COMPARE,Compare Viewer,parallel_compare_primary,launchpoint_only,WIN-COMPARE as advanced / WS-ANALYSIS embedded compare as primary,"оставить как специализированное окно, но не как равноправный старт",дублирует встроенное сравнение и спорит за основной маршрут,WS-ANALYSIS -> Подробное сравнение -> WIN-COMPARE,high,"embedded compare = primary, viewer = advanced",P0
CUR-WIN-ANIM,Desktop Animator,specialized_top_level,covered_partially,WS-ANIMATOR / dedicated top-level window,"сохранить top-level, но запускать из анализа и результатов","объяснён лучше других окон, но место в маршруте не всегда явно",дерево -> Анимация или Analysis -> Open Animator,medium,оставить first-class специализированным окном,P1
CUR-WIN-MNEMO,Desktop Mnemo,secondary_but_too_visible,launchpoint_only,WIN-MNEMO,"оставить отдельным окном, но понизить в shell-иерархии","слабо объяснена роль, но кнопка доступна слишком рано",дерево -> Мнемосхема или Аниматор -> открыть мнемосхему,medium,убрать из стартовой сетки в advanced / tree branch,P1
CUR-WIN-INPUTS,Редактор исходных данных,weak_primary_signal,launchpoint_only,WS-INPUTS,усилить как master-copy inputs workspace,не всегда читается как главный редактор исходных данных,дерево -> Исходные данные,medium,явно обозначить как главный источник входных данных,P1
CUR-WIN-SUITE,Центр тестов,weak_primary_signal,launchpoint_only,WS-SUITE,"сделать consumer сценарного источника, а не второй сценарный редактор","неясно, что это шаг после сценариев, а не альтернативный сценарный центр",дерево -> Набор испытаний,medium,жёстко связать с Ring Editor и validated snapshot,P1
CUR-WIN-TOOLS,Центр desktop-инструментов,too_early_tools_hub,launchpoint_only,WS-TOOLS,понизить до служебного advanced-узла,служебный центр торчит на старте слишком высоко,дерево -> Инструменты,medium,"оставить в tree / menu, убрать из main starter emphasis",P2
CUR-WIN-AUTOTEST,GUI автотестов,service_launchpoint,launchpoint_only,service tool under WS-TOOLS,"по смыслу сервисный инструмент, не часть основного маршрута",технический термин GUI и ранний вход перегружают shell,Инструменты -> Автотесты,medium,перенести в Tools и переименовать без GUI,P2
CUR-RING-NOT-DOMINANT,Редактор кольца в наблюдаемом старте,canonical_but_under-signaled,covered_partially,WS-RING,поднять как второй шаг после inputs и единственный источник сценариев,"по канону главный сценарный центр, в текущем старте не доминирует",дерево -> Сценарии и редактор кольца,high,"усилить в shell, labels, next action, tree order",P0
