current_label,problem_type,recommended_label,why
GUI диагностики,implementation_leak,Диагностика,убрать техническое слово GUI из пользовательского маршрута
GUI отправки результатов,false_peer_route,Отправить архив диагностики,действие должно быть вторым шагом после сборки bundle
Compare Viewer,mixed_language + unclear_role,Подробное сравнение результатов,"нужна роль окна, а не англоязычное имя"
Редактор исходных данных,weak_master_copy_semantics,Исходные данные проекта,"нужно явно показать, что это master-copy входов"
Центр тестов,wrong_domain_focus,Набор испытаний,"пользователь работает не с «центром», а с набором испытаний"
stage,ambiguous_engineering_abbreviation,Стадия первого входа,нужно раскрыть смысл поля в suite
suite,english_internal_term,Набор испытаний,русское каноническое имя для user-facing GUI
compare,english_internal_term,сравнение результатов,нужна русская предметная формулировка
latest_send_bundle.zip,artifact_name_exposed,Последний архив диагностики,"показывать пользовательскую сущность, а не имя файла"
(не выбрано),acceptable_but_needs_context,Сценарий не выбран,"лучше давать объект и состояние, а не абстрактное пустое значение"
Выравнивание,too_short,Выравнивание пружинами,добавить предметный смысл
Разница после выравнивания,missing_unit,"Остаточная разница после выравнивания, миллиметры",обязательная единица измерения
