id,название,предусловие,действие_пользователя,реакция_GUI,визуальное_доказательство,внутренний_артефакт,время_реакции
PV-01,Запуск и восстановление,Есть сохранённый проект или последний корректный session state.,"{""элемент"": ""CEG-00"", ""описание"": ""Запустить приложение.""}","[""Окно открывается в сохранённом размере и layout."", ""На панели проекта видна линейка шагов и карточка состояния проекта."", ""Если есть предупреждения contract truth, карточка предупреждений активна.""]","[""PJ-STEP-BAR"", ""PJ-CARD-PROJECT-STATE"", ""PJ-CARD-CONTRACT-WARNINGS""]",ui_state восстановлен из persisted layout.,"{""значение"": 2.0, ""единица"": ""с""}"
PV-02,Редактирование параметра и мгновенный preview,Открыто workspace «Исходные данные».,"{""элемент"": ""ID-PARAM-TABLE"", ""описание"": ""Выбрать параметр и изменить значение.""}","[""Строка параметра выделяется."", ""Правая панель открывает свойства и help выбранного параметра."", ""Графическое представление обновляется и подсвечивает связанную геометрию.""]","[""ID-PARAM-TABLE"", ""SH-INSPECTOR-CONTENT"", ""ID-PREVIEW-CANVAS""]",project_state.dirty = true.,"{""значение"": 0.25, ""единица"": ""с""}"
PV-03,Открытие развёрнутой справки по знаку вопроса,Фокус на поле или кнопке с help_id.,"{""элемент"": ""любой элемент с кнопкой вопроса"", ""описание"": ""Щёлкнуть по знаку вопроса или нажать F1.""}","[""Правая панель переключается на вкладку «Справка»."", ""Показывается help-статья по выбранному элементу."", ""Связанные поля отображаются в списке связей.""]","[""SH-INSPECTOR-TABS"", ""SH-INSPECTOR-CONTENT""]",last_help_id = help_id элемента.,"{""значение"": 0.1, ""единица"": ""с""}"
PV-04,Редактирование сегмента кольца,Открыт редактор кольца.,"{""элемент"": ""RG-SEGMENT-LIST"", ""описание"": ""Выбрать сегмент и изменить его свойства.""}","[""План кольца подсвечивает сегмент."", ""Продольный профиль и диаграмма поперечного уклона обновляются."", ""Если шов нарушен, список диагностики замыкания показывает предупреждение.""]","[""RG-PLAN-VIEW"", ""RG-LONG-PROFILE-VIEW"", ""RG-CROSSFALL-VIEW"", ""RG-SEAM-DIAGNOSTICS""]",scenario_state.updated = true.,"{""значение"": 0.25, ""единица"": ""с""}"
PV-05,Предпросмотр сценария до добавления в испытания,Сценарий изменён.,"{""элемент"": ""RG-BTN-GENERATE-PREVIEW"", ""описание"": ""Нажать «Сгенерировать предварительный просмотр».""}","[""Появляется или обновляется превью sidecar-артефактов."", ""Кнопка «Добавить в испытания» активируется только после успешного preview.""]","[""RG-PLAN-VIEW"", ""RG-BTN-ADD-TO-SUITE""]",preview_artifacts_ready = true.,"{""значение"": 1.0, ""единица"": ""с""}"
PV-06,Добавление сценария в матрицу испытаний,Preview сценария успешен.,"{""элемент"": ""RG-BTN-ADD-TO-SUITE"", ""описание"": ""Подтвердить добавление.""}","[""Открывается матрица испытаний."", ""Новая строка появляется в таблице испытаний и связана со сценарием.""]","[""TS-TABLE""]",suite_json updated.,"{""значение"": 0.5, ""единица"": ""с""}"
PV-07,Валидация набора испытаний,Есть хотя бы одно испытание.,"{""элемент"": ""TS-BTN-VALIDATE"", ""описание"": ""Нажать «Проверить набор испытаний».""}","[""Сводка валидации показывает ошибки и предупреждения."", ""Главная кнопка baseline недоступна, пока есть ошибки.""]","[""TS-VALIDATION-SUMMARY"", ""TS-BTN-RUN-BASELINE""]",suite_validation_report.json updated.,"{""значение"": 1.0, ""единица"": ""с""}"
PV-08,Запуск baseline,Набор испытаний валиден.,"{""элемент"": ""BL-BTN-RUN"", ""описание"": ""Нажать «Запустить базовый прогон».""}","[""Открывается монитор выполнения."", ""Hero показывает baseline mode."", ""В нижней строке появляется прогресс.""]","[""MN-STAGE-HERO"", ""MN-PROGRESS-BAR"", ""SH-STATUS-PROGRESS""]",run_dir created.,"{""значение"": 2.0, ""единица"": ""с""}"
PV-09,Запуск StageRunner,В центре оптимизации выбран StageRunner.,"{""элемент"": ""OP-BTN-LAUNCH"", ""описание"": ""Нажать «Запустить StageRunner».""}","[""Монитор выполнения открывается автоматически."", ""Hero показывает активную стадию и stage budget."", ""Таблица текущей стадии и блок причин gate заполняются по мере хода.""]","[""MN-STAGE-HERO"", ""MN-CURRENT-STAGE-TABLE"", ""MN-GATE-REASONS""]","staged_progress.json, stage csv, results_opt_all.csv.","{""значение"": 2.0, ""единица"": ""с""}"
PV-10,Запуск distributed coordinator,В центре оптимизации выбран distributed coordinator.,"{""элемент"": ""OP-BTN-LAUNCH"", ""описание"": ""Нажать «Запустить distributed coordinator».""}","[""Монитор выполнения показывает режим distributed coordinator."", ""История запусков и objective contract отображаются сразу."", ""Resume и run id фиксируются в правой части центра оптимизации и монитора.""]","[""MN-STAGE-HERO"", ""SH-OBJECTIVE-CONTRACT"", ""OP-RESUME-BLOCK""]",objective_contract.json and run directory updated.,"{""значение"": 2.0, ""единица"": ""с""}"
PV-11,Принятие результата как baseline,На экране результатов выбран run.,"{""элемент"": ""RS-BTN-ACCEPT-BASELINE"", ""описание"": ""Нажать «Принять как baseline».""}","[""Появляется подтверждение принятия."", ""История baseline обновляется."", ""Карточка baseline на панели проекта обновляется.""]","[""BL-HISTORY-TABLE"", ""PJ-CARD-LAST-BASELINE""]",baseline_best.json updated or history record appended.,"{""значение"": 0.5, ""единица"": ""с""}"
PV-12,Открытие аниматора и контроль truth-banner,Есть результат с доступными артефактами анимации.,"{""элемент"": ""RS-BTN-OPEN-ANIMATOR"", ""описание"": ""Открыть аниматор.""}","[""Появляется 3D viewport."", ""Truth-banner показывает режим достоверности."", ""Timeline показывает текущее время и источник данных.""]","[""AM-VIEWPORT"", ""AM-TRUTH-BANNER"", ""AM-TIMELINE""]",anim_latest loaded.,"{""значение"": 1.0, ""единица"": ""с""}"
