workspace,state_id,state_name,user_question,severity,visibility_policy,primary_region,trigger,why_must_be_visible,risk_if_hidden,recommended_ui_pattern
SHELL,STATE-SH-001,Активный проект,Какой проект сейчас открыт?,critical,always,top_bar,всегда,Без этого пользователь теряет контекст всей сессии,Риск правок не в тот проект и ложных выводов по текущим данным,Заголовок проекта + путь/вариант в верхней панели
SHELL,STATE-SH-002,Текущий шаг pipeline,Где я нахожусь в основной цепочке?,critical,always,left_tree+top_bar,всегда,"Маршрут должен читаться как единая цепочка, а не как набор страниц",Пользователь не понимает следующий шаг,Подсветка текущего workspace в дереве + breadcrumb
SHELL,STATE-SH-003,Глобальная команда диагностики,Где собрать диагностику?,critical,always,top_bar,всегда,Диагностика должна быть first-class функцией,Пользователь теряется между разными путями диагностики,Одна заметная кнопка «Собрать диагностику»
SHELL,STATE-SH-004,Глобальный cross-workspace warning,Есть ли сейчас stale/current/historical конфликт?,high,conditional,message_bar,при конфликте,Конфликты нельзя прятать внутрь экранов,Пользователь доверяет не тому контексту,Глобальная message bar с переходом к месту исправления
WS-PROJECT,STATE-PR-001,Следующее рекомендованное действие,Что делать дальше?,high,always,center_summary,всегда,Стартовый экран не должен быть просто обзором,Пользователь видит только плитки и не видит маршрут,Карточка «Следующий шаг»
WS-PROJECT,STATE-PR-002,Состояние проекта: dirty/saved,Сохранены ли изменения?,high,conditional,top_strip,при dirty,Без этого пользователь теряет уверенность в сохранности работы,Риск ухода без сохранения,Лента состояния проекта
WS-INPUTS,STATE-IN-001,Активный вариант исходных данных,Какой набор входов я редактирую?,critical,always,top_strip,всегда,Master-copy входов должен быть явным,Риск редактировать не тот вариант,Подпись варианта + хеш snapshot
WS-INPUTS,STATE-IN-002,Симметрия лево/право,Сейчас бортовые параметры зеркальны или нет?,critical,always,center_summary,всегда,От этого зависит понимание числа реально управляемых параметров,"Пользователь не понимает, правит ли один борт или оба",Явный переключатель/маркер «Зеркально: включено/выключено»
WS-INPUTS,STATE-IN-003,Две пружины на угол,На этот угол назначены две пружины? Какие именно?,critical,always,center_graphic+inspector,если конфигурация использует две пружины,Это прямо влияет на понимание конструкции,Пользователь не видит реальную схему угла,Подпись на схеме: «Перед C1 + Перед C2» и т.п.
WS-INPUTS,STATE-IN-004,Выравнивание пружинами,Выравнивание активно? Как выполнено? На сколько миллиметров?,critical,always,center_summary,если режим включён,"Пользователь должен видеть не только факт режима, но и результат",Скрытый auto behavior воспринимается как магия,"Карточка: режим, способ, остаточная разница, миллиметры"
WS-INPUTS,STATE-IN-005,Truth-state графического двойника,"Это расчётная геометрия, эскиз по исходным данным или условное представление?",critical,always,center_graphic_header,если есть графика,Честность графики обязательна,Пользователь путает эскиз и solver truth,Явный маркер режима + источник данных
WS-INPUTS,STATE-IN-006,Packaging/intersection conflict,Есть ли пересечения или packaging-конфликт?,high,conditional,message_bar+inspector,при конфликте,Конструктивные конфликты нельзя прятать,Пользователь продолжает работу с заведомо плохой конфигурацией,Banner + выделение конфликтующих элементов
WS-RING,STATE-RG-001,Выбранный сегмент,Какой сегмент сейчас редактируется?,critical,always,top_strip+list+plan+profile,всегда,Сегментный выбор — ядро сценарного редактора,"Пользователь теряет связь между списком, графиком и inspector",Синхронный selected state везде
WS-RING,STATE-RG-002,Геометрический тип сегмента,"Это прямо, влево или вправо?",critical,always,center_summary,всегда,Поворот должен задаваться явно,Смысл сегмента размазывается по derived метрикам,Enum с полным названием
WS-RING,STATE-RG-003,Продольный конец сегмента,Какая высота дороги в конце сегмента?,high,always,inspector+profile,всегда,Продольный профиль должен быть прозрачен,Пользователь не понимает высотный шов,Поле + подсветка конца сегмента на профиле
WS-RING,STATE-RG-004,Поперечный уклон,Какой поперечный уклон и что он делает с колеями?,high,always,inspector+cross_section,всегда,Поперечный уклон должен быть одним явным параметром,Пользователь начинает мыслить разрозненными L/R высотами,Поле уклона + derived высоты как read-only
WS-RING,STATE-RG-005,Состояние шва,Шов согласован?,critical,conditional,message_bar+segment_list,при проблеме шва,Шов — главный риск циклического сценария,Пользователь экспортирует несогласованный сценарий,Banner + jump to seam
WS-RING,STATE-RG-006,Экспорт сценария stale,Экспорт актуален относительно текущего draft?,high,conditional,top_strip,при stale export,Нельзя тихо использовать старый экспорт,Animator/suite работают со старым сценарием,Маркер stale + action «Переэкспортировать»
WS-SUITE,STATE-SU-001,Выбранное испытание,Какое испытание сейчас выделено?,high,always,list+inspector,всегда,Suite строится от выбранной строки,"Пользователь путает, какую строку правит",Синхронный selected row
WS-SUITE,STATE-SU-002,Первый вход в стадию,С какой стадии это испытание впервые входит?,critical,always,table_column,всегда,Stage semantics должны быть читаемы без догадок,"Пользователь не понимает, почему тест попал/не попал в stage0",Явный столбец «Первая стадия»
WS-SUITE,STATE-SU-003,Статус связи с кольцом,Связь со сценарием живая или stale?,critical,conditional,message_bar+row_badge,при stale link,Suite не должен становиться вторым редактором сценариев,Пользователь верит в старую геометрию,Badge + переход в редактор кольца
WS-SUITE,STATE-SU-004,Validated snapshot freshness,Snapshot набора испытаний актуален?,high,conditional,top_strip,при snapshot stale,Baseline/optimization должны стартовать не из dirty-buffer,"Пользователь думает, что гонит текущее, а реально гонит старое",Маркер stale + action «Собрать snapshot»
WS-BASELINE,STATE-BL-001,Активный baseline,Какой baseline сейчас активен?,critical,always,top_strip,всегда,Baseline — отдельный источник истины,"Пользователь не понимает, с чем сравнивается оптимизация",Карточка baseline source
WS-BASELINE,STATE-BL-002,Политика baseline,Автообновление baseline включено?,high,always,top_strip,всегда,Политика baseline влияет на смысл последующих запусков,Смешение A/B сравнения и накопительной доводки,Toggle/indicator политики
WS-BASELINE,STATE-BL-003,Source mismatch,Baseline собран с другим suite/input context?,critical,conditional,message_bar,при mismatch,Нельзя сравнивать несогласованные контексты как эквивалентные,Ложные выводы по качеству улучшения,Banner + repair route
WS-OPTIMIZATION,STATE-OP-001,Активный режим запуска,Сейчас работает StageRunner или distributed coordinator?,critical,always,top_strip,всегда,Один активный режим должен быть явно видим,"Пользователь не понимает, что именно запускает",Large mode badge
