node_id,scope,surface,kind,label_current,label_recommended,semantic_issue,severity,why_it_hurts,status,semantic_quality_score_1_5,cost_impact_launch_shell,cost_impact_diagnostics,cost_impact_compare,route_priority
OC_MODE_STAGE,current,optimization_page,radio,Режим по стадиям (StageRunner) — рекомендуется,Режим по стадиям — рекомендуется,internal_name_leak_but_explained,medium,"Роль понятна, но внутреннее имя можно убрать из основной подписи.",rewrite,3,0.0,0.0,0.0,low
OC_START_STAGE,current,optimization_page,button,Запустить StageRunner,Запустить StageRunner,internal_name_leak_but_explained,medium,"Роль понятна, но внутреннее имя можно убрать из основной подписи.",rewrite,3,0.0,0.0,0.0,low
OF_EPS_ADAPT,current,optimization_page,field,Adaptive epsilon,Адаптивный шаг influence,mixed_language,medium,Смешение языков повышает когнитивную нагрузку.,rewrite,3,0.0,0.0,0.0,low
OF_JOBS,current,optimization_page,field,Jobs,Параллельных процессов,mixed_language,medium,Смешение языков повышает когнитивную нагрузку.,rewrite,3,0.0,0.0,0.0,low
OF_POLICY,current,optimization_page,field,Seed/promotion policy,Политика seed и promotion,mixed_language,medium,Смешение языков повышает когнитивную нагрузку.,rewrite,3,0.0,0.0,0.0,low
OF_SORT_COST,current,optimization_page,field,Sort tests by cost,Сортировать испытания по стоимости,mixed_language,medium,Смешение языков повышает когнитивную нагрузку.,rewrite,3,0.0,0.0,0.0,low
OF_SURR_SAMPLES,current,optimization_page,field,Surrogate samples,Число surrogate samples,mixed_language,medium,Смешение языков повышает когнитивную нагрузку.,rewrite,3,0.0,0.0,0.0,low
OF_SURR_TOPK,current,optimization_page,field,Surrogate top-k,Размер элиты surrogate,mixed_language,medium,Смешение языков повышает когнитивную нагрузку.,rewrite,3,0.0,0.0,0.0,low
OF_WARMSTART,current,optimization_page,field,Warm-start режим,Режим warm-start,mixed_language,medium,Смешение языков повышает когнитивную нагрузку.,rewrite,3,0.0,0.0,0.0,low
FB_HOME_BASE_READY,current,home,feedback,Базовый прогон готов,Базовый прогон готов,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
FB_HOME_COMPARE_CONTEXT,current,home,feedback,Есть данные для сравнения,Есть данные для сравнения,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
FB_HOME_ROUTE_AMBIG,current,home,feedback,Слишком много равноправных дверей,Слишком много равноправных дверей,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
FB_HOME_SUITE_INVALID,current,home,feedback,Ошибка в наборе испытаний,Ошибка в наборе испытаний,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
FB_HOME_SUITE_VALID,current,home,feedback,Набор испытаний валиден,Набор испытаний валиден,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
HC_BASE_RUN,current,home,button,Запустить базовый прогон,Запустить базовый прогон,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
HC_COMPARE_EMBED,current,home,button_or_tab,Встроенное сравнение,Быстрое сравнение результатов,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,1.6,high
HC_DETAIL_RUN,current,home,button,Запустить детальный прогон,Запустить детальный прогон,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
HC_DOWNLOAD_SUITE,current,home,button,Скачать suite.json,Скачать набор испытаний,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
HC_GO_OPT,current,home,button,Перейти на страницу оптимизации,Открыть центр оптимизации,none,low,Надпись требует уточнения роли.,rewrite,3,1.4,0.0,0.0,high
HC_LAUNCH_COMPARE,current,home,button,Открыть Compare Viewer,Подробное сравнение результатов,none,low,Надпись требует уточнения роли.,rewrite,3,1.4,0.0,1.6,high
HC_LAUNCH_INPUT,current,home,button,Открыть редактор исходных данных,Открыть редактор исходных данных,none,low,Семантика понятна и соответствует роли.,keep,5,0.4,0.0,0.0,medium
HC_LAUNCH_TEST,current,home,button,Открыть центр тестов,Открыть набор испытаний,none,low,Надпись требует уточнения роли.,rewrite,3,1.4,0.0,0.0,high
HC_LAUNCH_TOOLS,current,home,button,Открыть центр desktop-инструментов,Расширенные инструменты,none,low,Надпись требует уточнения роли.,rewrite,3,1.4,0.0,0.0,high
HC_OPEN_ANIM,current,home,button,Запустить Animator (--follow),Открыть аниматор,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
HC_OPEN_MNEMO,current,home,button,Запустить Mnemo (follow),Открыть мнемосхему,none,low,Надпись требует уточнения роли.,rewrite,3,1.4,0.0,0.0,high
HC_OPT_CONTRACT,current,home,message,Настройки оптимизации снова видимы прямо здесь,Настройки оптимизации прямо здесь,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
HC_SUITE_ENABLE,current,home,checkbox,Включен,Включён,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
HC_SUITE_STAGE,current,home,field,Стадия,Стадия первого входа,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
HC_SUITE_TYPE,current,home,select,Тип,Тип испытания,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
HC_UPLOAD_SUITE,current,home,button,Загрузить suite.json,Загрузить набор испытаний,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
HZ_ANIM,current,home,screen_zone,Графики и анимация опорного прогона,Графики и анимация опорного прогона,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
HZ_BASE,current,home,screen_zone,Базовый и детальный прогон,Базовый и детальный прогон,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
HZ_CMP,current,home,screen_zone,Встроенное сравнение / dashboards,Быстрое сравнение результатов,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,1.6,high
HZ_INPUTS,current,home,screen_zone,Исходные данные и search-space,Исходные данные и search-space,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
HZ_MSG,current,home,screen_zone,Статус и сообщения,Статус и сообщения,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
HZ_OPT,current,home,screen_zone,Оптимизация,Оптимизация: настройки и переход,none,low,Надпись требует уточнения роли.,rewrite,3,1.4,0.0,0.0,high
HZ_OPTBG,current,home,screen_zone,Оптимизация (фон),Ход оптимизации,none,low,Надпись требует уточнения роли.,rewrite,3,1.4,0.0,0.0,high
HZ_ROUTE,current,home,screen_zone,Маршрут первых шагов,Маршрут первых шагов,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
