event_id,триггер,обязательные_поля
ui_app_started,Открытие окна,"[""release_tag"", ""workspace_dir"", ""window_state"", ""layout_id""]"
ui_workspace_changed,Переключение рабочего пространства,"[""from_workspace"", ""to_workspace"", ""trigger""]"
ui_field_changed,Изменение поля,"[""field_id"", ""source_of_truth_domain"", ""old_value"", ""new_value"", ""unit""]"
ui_preview_updated,Обновление графического представления,"[""preview_id"", ""reason"", ""latency_ms""]"
ui_validation_state_changed,Изменение статуса валидации,"[""target_id"", ""severity"", ""message"", ""next_action""]"
ui_scenario_preview_generated,Сформирован preview сценария,"[""scenario_id"", ""artifact_ids"", ""status""]"
ui_baseline_started,Запуск baseline,"[""run_id"", ""suite_hash"", ""baseline_source""]"
ui_optimization_started,Запуск оптимизации,"[""run_id"", ""mode"", ""objective_contract_hash"", ""baseline_source""]"
ui_stage_progress_updated,Обновление прогресса стадии,"[""run_id"", ""stage_id"", ""rows"", ""underfill"", ""gate_reason_preview""]"
ui_results_opened,Открыт центр результатов,"[""run_id"", ""view_mode""]"
ui_animator_truth_state,Смена truth-banner,"[""run_id"", ""truth_state"", ""missing_contract_fields""]"
ui_diagnostics_collected,Собран архив диагностики,"[""bundle_path"", ""bundle_freshness_min"", ""health_status""]"
ui_app_exit,Выход из приложения,"[""reason"", ""autosave_bundle"", ""layout_persisted""]"
