UI_ID,UI_NAME_RU,UI_TYPE,WORKSPACE_ID,WINDOW_ID,SCREEN_IDS,REGION_ID,PARENT_CONTAINER_ID,X_LOCAL_PX,Y_LOCAL_PX,MIN_WIDTH_PX,MIN_HEIGHT_PX,PREFERRED_WIDTH_PX,PREFERRED_HEIGHT_PX,SOURCE_BINDING,RELATED_PAR_ID,VISIBLE_WHEN,ENABLED_WHEN,TOOLTIP_REQUIRED,HELP_REQUIRED,SCROLL_BEHAVIOR,POSITIONING_RULE,RESIZE_RULE,STATE_MODEL,SOURCE_ID
RG-FLD-SCENARIO-NAME,Название сценария,text_editor,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-HEADER,RG-HEADER,0,4,165,24,220,32,scenario.root.name,PAR-0001,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-FLD-CLOSURE-POLICY,Политика замыкания кольца,combo_box,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-HEADER,RG-HEADER,232,4,135,24,180,32,scenario.root.closure_policy,PAR-0002,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-FLD-V0,Начальная скорость,numeric_editor,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-HEADER,RG-HEADER,424,4,99,24,132,32,scenario.root.v0_kph,PAR-0003,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-FLD-DX,Шаг дискретизации,numeric_editor,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-HEADER,RG-HEADER,568,4,99,24,132,32,scenario.root.dx_m,PAR-0004,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-FLD-LAPS,Количество кругов,integer_editor,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-HEADER,RG-HEADER,712,4,93,24,124,32,scenario.root.n_laps,PAR-0005,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-FLD-SEED,Код генератора,integer_editor,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-HEADER,RG-HEADER,848,4,90,24,120,32,scenario.root.seed,PAR-0006,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-FLD-ROAD-WIDTH,Ширина дороги,numeric_editor,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-HEADER,RG-HEADER,980,4,87,24,116,32,scenario.root.road_width_m,PAR-0007,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-BTN-GENERATE-PREVIEW,Сгенерировать предварительный просмотр,secondary_button,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-HEADER,RG-HEADER,1108,4,72,24,96,32,preview.generate,,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-SEGMENT-LIST,Список сегментов,list_view,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-LEFT,RG-LEFT,0,0,228,540,304,720,scenario.segments[],,Всегда,Всегда,Да,Да,Вертикальный внутренний скролл,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Ширина адаптируется к контейнеру; высота фиксирована или скроллируема по правилу контейнера.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-BTN-ADD-SEGMENT,Добавить сегмент,small_button,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-LEFT,RG-LEFT,0,736,108,27,144,36,scenario.segments.add,,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
