node_id,workspace,layer,node_kind,label,source_file,source_id,evidence_status,semantics_status,notes
TREE-WS-INPUTS,WS-INPUTS,current,tree_entry,Исходные данные,project_inputs_screen_blueprints_v21.csv,tree_entry,canonical_requirement,keep,Прямое открытие из дерева должно стать обязательным.
CUR-IN-HOME-LAUNCH,WS-INPUTS,current,current_entry,Открыть редактор исходных данных,live_evidence,CUR-IN-HOME-LAUNCH,evidence_bound,pending,Подтвержден launchpoint; внутренности current evidence-bound.
CUR-IN-NUMERIC-ONLY,WS-INPUTS,current,current_surface,Числовое редактирование без достаточной графической обратной связи,live_evidence,CUR-IN-NUMERIC-ONLY,evidence_bound,pending,Проблема видимости выбора пружин/выравнивания/симметрии.
CUR-IN-C1C2-HIDDEN,WS-INPUTS,current,current_defect,"Неочевидно, что на угол выбраны две пружины",live_evidence,CUR-IN-C1C2-HIDDEN,evidence_bound,pending,Критичный когнитивный дефект.
CUR-IN-LEVELING-HIDDEN,WS-INPUTS,current,current_defect,"Неочевидно, что включено выравнивание пружинами и как оно выполнено",live_evidence,CUR-IN-LEVELING-HIDDEN,evidence_bound,pending,Критичный когнитивный дефект.
CUR-IN-SYMMETRY-HIDDEN,WS-INPUTS,current,current_defect,Неочевидна зеркальная симметрия лево/право,live_evidence,CUR-IN-SYMMETRY-HIDDEN,evidence_bound,pending,Критичный когнитивный дефект.
CUR-IN-TWIN-PARTIAL,WS-INPUTS,current,current_defect,"Графический двойник либо слабый, либо не синхронизирован полностью",live_evidence,CUR-IN-TWIN-PARTIAL,evidence_bound,pending,Нарушает правило графического представления вводимых данных.
CUR-IN-VALIDATE-SAVE,WS-INPUTS,current,current_action,Проверить и сохранить,live_evidence,CUR-IN-VALIDATE-SAVE,evidence_bound,pending,Финальное действие перед handoff.
TREE-WS-INPUTS,WS-INPUTS,optimized,tree_entry,Исходные данные,v13-v21/v16/v19+v18,TREE-WS-INPUTS,designed_target,pending,Canonical target-layer.
ROOT-WS-INPUTS,WS-INPUTS,optimized,workspace,Исходные данные,v13-v21/v16/v19+v18,ROOT-WS-INPUTS,designed_target,pending,Canonical target-layer.
DOCK-TREE-WS-INPUTS,WS-INPUTS,optimized,dock,Левое дерево,v13-v21/v16/v19+v18,DOCK-TREE-WS-INPUTS,designed_target,pending,Canonical target-layer.
