workspace_id,name,pipeline_order,primary_contract_file,source_of_truth,main_inputs,main_outputs,editing_rule,layout_rule,sources
WS-SHELL,Глобальный shell,1,WORKSPACE_CANON/imported/WS_SHELL_V20/shell_schema_contract_v20.json,shell_window_state + command surface,project router / layout profiles,"workspace routing, search, diagnostics entry","document-first shell, no master-copy editing",dock/floating/auto-hide save-restore,v20 + repo 17/18
WS-PROJECT,Панель проекта,2,WORKSPACE_CANON/imported/WS_PROJECT_INPUTS_V21/project_dashboard_contract_v21.json,project_identity + next_action,project file + recent objects,routing to WS-INPUTS / WS-RING / WS-SUITE,"read-only summary, no engineering master copy",normal shell docking,v21
WS-INPUTS,Исходные данные,3,WORKSPACE_CANON/imported/WS_PROJECT_INPUTS_V21/inputs_master_contract_v21.json,base_json + ranges_json,editable master-copy inputs,inputs snapshot for ring/suite handoff,paired numeric+graphic twins required,inspector + visual twin,v21 + prompt canonical
WS-RING,Редактор циклического сценария,4,WORKSPACE_CANON/imported/WS_RING_V13/ring_editor_schema_contract_v13.json,ring_scenario,inputs snapshot + ring editor,scenario export set + ring_source_hash,only editable scenario geometry source-of-truth,"unfolded cyclic scenario, no geometric ring",v13 + v25
WS-SUITE,Набор испытаний,5,WORKSPACE_CANON/imported/WS_SUITE_V14/suite_schema_contract_v14.json,validated_suite_snapshot,ring exports refs + local test overrides,validated snapshot to baseline,"consumer only, no scenario geometry ownership",table/tree + preview,v14 + v22 + v26
WS-BASELINE,Базовый прогон,6,WORKSPACE_CANON/imported/WS_BASELINE_V15/baseline_schema_contract_v15.json,active_baseline_contract,validated suite snapshot,active baseline for optimization,history != active source-of-truth,run summary + review/restore,v15 + v23
WS-OPTIMIZATION,Оптимизация,7,WORKSPACE_CANON/imported/WS_OPTIMIZATION_V16/optimization_schema_contract_v16.json,optimization_run_contract + objective_contract,active baseline + suite snapshot + objective contract,selected run contract to analysis/animator,one active mode at a time,staged/distributed with explicit runtime contract,v16 + v23
WS-ANALYSIS,Анализ результатов,8,WORKSPACE_CANON/imported/WS_ANALYSIS_V17/analysis_schema_contract_v17.json,analysis_context + compare_contract,selected run contract + baseline/objective refs,analysis export manifest + animator/diagnostics handoff,"historical context, no live runtime truth","compare first-class, explicit mismatch contract",v17 + v23 + v24
WS-ANIMATOR,Анимация,9,WORKSPACE_CANON/imported/WS_ANIMATOR_V18/animator_schema_contract_v18.json,animator_context,analysis context + artifact pointers,capture export + diagnostics evidence,truthful graphics handoff only,solver_confirmed/source_data/approximate/unavailable,v18 + v23 + v24 + v26
WS-DIAGNOSTICS,Диагностика,10,WORKSPACE_CANON/imported/WS_DIAGNOSTICS_V19/diagnostics_schema_contract_v19.json,send_bundle_contract + evidence manifest,analysis/animator/runtime evidence,final send bundle + health report + latest pointers,"first-class, one visible collect command",manual/auto-exit/crash modes unified,v19 + v24
WS-SETTINGS,Параметры / Настройки,11,WORKSPACE_CANON/imported/WS_SHELL_V20/shell_parameters_tools_contract_v20.json,application preferences,shell + workspace settings,persisted preferences,service surfaces do not replace core workflow,second-level navigation,v20
WS-TOOLS,Инструменты,12,WORKSPACE_CANON/imported/WS_SHELL_V20/shell_parameters_tools_contract_v20.json,tools actions,"maintenance, import/export, validators",tool artifacts,service surfaces remain available via search,second-level navigation,v20
