WINDOW_ID,WINDOW_NAME_RU,WINDOW_TYPE,DEFAULT_VISIBILITY,PURPOSE,PREFERRED_SIZE,MIN_SIZE,LAYOUT_ROLE,BEHAVIOR_RULES
WIN-MAIN-SHELL,Главное окно приложения,top_level_main_window,always_visible,"Главный shell с меню, command search, левым деревом, центральной рабочей областью и правым inspector.",1600x980,1280x800,windowed+snap+restore,"Стандартная строка заголовка, system menu, docking panes, mixed-DPI, second-monitor awareness."
WIN-DESKTOP-ANIMATOR,Desktop Animator,top_level_specialized_window,user_invoked,Специализированное окно 3D-аниматора и truthful graphics.,1440x900,1100x700,detached_top_level,Допускает второй монитор; не подменяет главный shell; read-only consumer analysis context.
WIN-COMPARE-VIEWER,Compare Viewer,top_level_specialized_window,user_invoked,Специализированное окно сравнения baseline/run/run и compare export.,1400x880,1100x720,detached_top_level,Открывается из Analysis и shell history; current-vs-historical banners обязательны.
WIN-DESKTOP-MNEMO,Desktop Mnemo,top_level_specialized_window,user_invoked,"Специализированная мнемосхема/пневмосхема с потоками, давлениями, состояниями.",1360x820,1100x680,detached_top_level,Может жить на втором мониторе; selection sync c shell и analysis обязателен.
WIN-DIAGNOSTICS,Диагностика,top_level_workspace_window,always_available,"First-class диагностика, SEND bundle preview, selfcheck, health, provenance.",1360x860,1100x700,workspace_window,Доступна из любого workspace через одну заметную команду.
WIN-LEFT-NAV,Левая панель навигации,dock_widget,default_docked_left,"Дерево рабочих пространств, сценариев, запусков и артефактов.",320x900,240x600,dockable/floating/auto-hide,Selection sync обязателен.
WIN-RIGHT-INSPECTOR,Правая панель свойств и помощи,dock_widget,default_docked_right,"Context-sensitive inspector, help, provenance, warnings.",420x900,300x600,dockable/floating/auto-hide,Пригодна для второго монитора; может сворачиваться во вкладку в narrow layout.
WIN-BOTTOM-STATUS,Нижняя панель статуса и прогресса,dock_widget,default_docked_bottom,"Status/progress/messages strip для режимов, прогресса и предупреждений.",1600x110,1280x84,dockable,Критичные ошибки не прячутся только сюда; progress продублирован в основном экране.
WIN-COMMAND-SEARCH,Глобальный поиск команд,popup_panel,transient,"Поиск команд, экранов, параметров, артефактов и сущностей проекта.",720x420,560x320,transient_overlay,Вызывается Ctrl+K и кнопкой из command surface.
WIN-SETTINGS,Параметры приложения,workspace_window,user_invoked,"Темы, DPI, layout profiles, runtime helpers, defaults и способы интеграции.",1200x820,960x680,workspace_or_tab,"Не модальный диалог; хранит редкие, но важные настройки."
WIN-TOOLS,Инструменты,workspace_window,user_invoked,"Редкие, но полезные инженерные инструменты и проверки среды.",1200x820,960x680,workspace_or_tab,Ищутся через command search и живут как second-level surface.
WIN-HELP-CONTEXT,Контекстная помощь,auxiliary_pane,conditional,"Развёрнутая помощь по знаку вопроса, glossary и cross-links.",420x900,320x600,dock_or_popup,Может жить внутри inspector или отдельно как плавающая панель.
