web_feature_id,название_функции,старое_место,новое_место,workspace,source_of_truth,сохранена_полностью,улучшения,как_найти_через_поиск_команд,статус_миграции
WEB-001,Редактирование параметров подвески и диапазонов оптимизации,Главная страница и таблица параметров web-приложения,Рабочее пространство «Исходные данные»,WS-INPUTS,Реестр параметров и data contract,True,"Одновременный числовой и графический вид, правый инспектор, явная help-панель.",поиск: параметры подвески / диапазоны оптимизации / жёсткость / цилиндр,обязательно
WEB-002,Режимы и флаги,Отдельный блок флагов в web UI,Левое дерево → раздел «Режимы и флаги» внутри «Исходные данные»,WS-INPUTS,Data contract и registry флагов,True,"Явное разделение числовых и логических параметров, объяснимость через help.",поиск: режимы / флаги / асимметрия / degraded,обязательно
WEB-003,Редактор кольца и генератор дорожного сценария,Генератор сценария и связанная форма web UI,Рабочее пространство «Редактор кольца и сценариев»,WS-RING,Редактор кольца,True,"Единый канон сегментов, план кольца, продольный профиль, поперечный уклон, seam diagnostics.",поиск: редактор кольца / сценарий / профиль дороги / сегмент,обязательно
WEB-004,Матрица испытаний,Suite editor и таблица тестов,Рабочее пространство «Матрица испытаний»,WS-SUITE,Suite JSON и таблица испытаний,True,"Связь с кольцом, валидация sidecar-файлов, preview и добавление в pipeline без скрытых маршрутов.",поиск: испытания / suite / матрица испытаний,обязательно
WEB-005,Baseline,Baseline controls в главной оптимизационной поверхности,Рабочее пространство «Базовый прогон»,WS-BASELINE,baseline_best.json и run artifacts,True,"Явный baseline source, сравнение кандидата с baseline, политика auto-update на отдельной панели.",поиск: baseline / базовый прогон / принять baseline,обязательно
WEB-006,StageRunner,Главная страница и/или Optimization page web UI,Рабочее пространство «Центр оптимизации»,WS-OPTIMIZATION,opt_stage_runner_v1.py,True,"Один активный режим запуска, stage policy, visible objective contract, run preview.",поиск: StageRunner / режим по стадиям / запустить StageRunner,обязательно
WEB-007,Distributed coordinator / Dask / Ray / BoTorch,Optimization page / coordinator blocks / CLI-related forms,"Рабочее пространство «Центр оптимизации», режим distributed",WS-OPTIMIZATION,dist_opt_coordinator.py,True,"Честное переключение режимов, без одновременных conflicting launch-кнопок.",поиск: distributed coordinator / Dask / Ray / BoTorch,обязательно
WEB-008,Монитор выполнения и live progress,Прогресс на странице оптимизации и background status,Рабочее пространство «Монитор выполнения» + нижняя строка состояния,WS-MONITOR,progress json / stage csv / combined csv,True,"Прогресс на текущем экране, stage rows, underfill/gate reasons, taskbar progress.",поиск: монитор выполнения / progress / стадия,обязательно
WEB-009,История запусков и baseline history,Optimization history / archive / baseline history blocks,Левое дерево истории + центр оптимизации + анализ,WS-OPTIMIZATION,"run directories, metadata, objective_contract.json",True,"История показывает objective stack, hard gate, baseline source и причину различий.",поиск: история запусков / сравнить run / objective contract,обязательно
WEB-010,Просмотр результатов и сравнение,Result viewers / compare pages,Рабочие пространства «Результаты» и «Аналитика»,WS-RESULTS; WS-ANALYTICS,run artifacts and result tables,True,"Сначала объяснение, потом детали; связка график ↔ таблица ↔ 3D.",поиск: результаты / сравнение / KPI / график,обязательно
WEB-011,3D-аниматор и дорожный HUD,Desktop animator / animation cockpit / mech_car3d,Рабочее пространство «Аниматор»,WS-ANIMATOR,anim_latest + truth gates,True,"Truth banner, dock/detach, ViewCube, timeline, связка с анализом и инспектором.",поиск: аниматор / 3D / ViewCube / дорожный HUD,обязательно
WEB-012,Мнемосхема пневматики,PneumoScheme/Mnemo page,Вкладка preview внутри «Исходных данных» и отдельный документ/панель в «Аниматоре»,WS-INPUTS; WS-ANIMATOR,Pneumo scheme data contract,True,Синхронное графическое представление вместе с полями ввода и выбором узлов.,поиск: мнемосхема / пневматика / клапан / ресивер,обязательно
WEB-013,Диагностика и SEND bundle,Diagnostics / Hub / send_results_gui,Рабочее пространство «Диагностика» + заметная глобальная кнопка,WS-DIAGNOSTICS,make_send_bundle.py and diagnostics contract,True,"Одна заметная кнопка, видимый состав архива, self-check, путь к последнему архиву.",поиск: диагностика / собрать диагностику / health report,обязательно
WEB-014,Параметры приложения и инструменты,Settings / tools scattered pages,Рабочее пространство «Параметры и инструменты» + меню приложения,WS-SETTINGS,app settings contract,True,"Служебное убрано с первого плана, но доступно через поиск и меню приложения.",поиск: параметры / настройки / инструменты / selfcheck,обязательно
WEB-015,"Справочник параметров, единицы, help",Help pages / units pages / tooltips,Правый инспектор «Справка» + знак вопроса + поиск команд,GLOBAL,Help registry and field registry,True,"Каждый элемент имеет tooltip и развёрнутое описание, без скрытых legacy-help маршрутов.",поиск: помощь / единицы / справочник параметров,обязательно
WEB-016,Поиск команд,Ранее отсутствовал как единый first-class слой,Верхняя командная панель,GLOBAL,command search contract,True,"Находит команды, параметры, тесты, сценарии, run и артефакты.",поиск сам является входом,новый_обязательный_слой
WEB-017,Артефакты и export files,Разрозненные ссылки на CSV/JSON/NPZ,Левое дерево истории и вкладка «Артефакты» в анализе/диагностике,WS-ANALYTICS; WS-DIAGNOSTICS,artifact registry,True,"Явная привязка артефакта к run, stage и objective contract.",поиск: артефакты / CSV / NPZ / JSON,обязательно
WEB-018,Preflight / selfcheck / целостность схемы,Preflight и отдельные check pages,Раздел «Проверка» в правом инспекторе и экран «Диагностика»,GLOBAL; WS-DIAGNOSTICS,selfcheck suite,True,"Связь с конкретным полем или run, а не абстрактный отчёт без контекста.",поиск: selfcheck / preflight / целостность схемы,обязательно
