workspace,state_id,state_name,visibility_policy,required_treatment,default_region,can_live_only_in_inspector
SHELL,STATE-SH-001,Активный проект,always,держать на экране всегда,top_bar,"нет, только детали можно в inspector"
SHELL,STATE-SH-002,Текущий шаг pipeline,always,держать на экране всегда,left_tree+top_bar,"нет, только детали можно в inspector"
SHELL,STATE-SH-003,Глобальная команда диагностики,always,держать на экране всегда,top_bar,"нет, только детали можно в inspector"
SHELL,STATE-SH-004,Глобальный cross-workspace warning,conditional,показывать только при наличии состояния/конфликта,message_bar,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-PROJECT,STATE-PR-001,Следующее рекомендованное действие,always,держать на экране всегда,center_summary,"нет, только детали можно в inspector"
WS-PROJECT,STATE-PR-002,Состояние проекта: dirty/saved,conditional,показывать только при наличии состояния/конфликта,top_strip,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-INPUTS,STATE-IN-001,Активный вариант исходных данных,always,держать на экране всегда,top_strip,"нет, только детали можно в inspector"
WS-INPUTS,STATE-IN-002,Симметрия лево/право,always,держать на экране всегда,center_summary,"нет, только детали можно в inspector"
WS-INPUTS,STATE-IN-003,Две пружины на угол,always,держать на экране всегда,center_graphic+inspector,"нет, только детали можно в inspector"
WS-INPUTS,STATE-IN-004,Выравнивание пружинами,always,держать на экране всегда,center_summary,"нет, только детали можно в inspector"
WS-INPUTS,STATE-IN-005,Truth-state графического двойника,always,держать на экране всегда,center_graphic_header,"нет, только детали можно в inspector"
WS-INPUTS,STATE-IN-006,Packaging/intersection conflict,conditional,показывать только при наличии состояния/конфликта,message_bar+inspector,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-RING,STATE-RG-001,Выбранный сегмент,always,держать на экране всегда,top_strip+list+plan+profile,"нет, только детали можно в inspector"
WS-RING,STATE-RG-002,Геометрический тип сегмента,always,держать на экране всегда,center_summary,"нет, только детали можно в inspector"
WS-RING,STATE-RG-003,Продольный конец сегмента,always,держать на экране всегда,inspector+profile,"нет, только детали можно в inspector"
WS-RING,STATE-RG-004,Поперечный уклон,always,держать на экране всегда,inspector+cross_section,"нет, только детали можно в inspector"
WS-RING,STATE-RG-005,Состояние шва,conditional,показывать только при наличии состояния/конфликта,message_bar+segment_list,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-RING,STATE-RG-006,Экспорт сценария stale,conditional,показывать только при наличии состояния/конфликта,top_strip,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-SUITE,STATE-SU-001,Выбранное испытание,always,держать на экране всегда,list+inspector,"нет, только детали можно в inspector"
WS-SUITE,STATE-SU-002,Первый вход в стадию,always,держать на экране всегда,table_column,"нет, только детали можно в inspector"
WS-SUITE,STATE-SU-003,Статус связи с кольцом,conditional,показывать только при наличии состояния/конфликта,message_bar+row_badge,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-SUITE,STATE-SU-004,Validated snapshot freshness,conditional,показывать только при наличии состояния/конфликта,top_strip,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-BASELINE,STATE-BL-001,Активный baseline,always,держать на экране всегда,top_strip,"нет, только детали можно в inspector"
WS-BASELINE,STATE-BL-002,Политика baseline,always,держать на экране всегда,top_strip,"нет, только детали можно в inspector"
WS-BASELINE,STATE-BL-003,Source mismatch,conditional,показывать только при наличии состояния/конфликта,message_bar,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-OPTIMIZATION,STATE-OP-001,Активный режим запуска,always,держать на экране всегда,top_strip,"нет, только детали можно в inspector"
WS-OPTIMIZATION,STATE-OP-002,Objective stack,always,держать на экране всегда,center_contract,"нет, только детали можно в inspector"
WS-OPTIMIZATION,STATE-OP-003,Hard gate,always,держать на экране всегда,center_contract,"нет, только детали можно в inspector"
WS-OPTIMIZATION,STATE-OP-004,Текущая стадия и прогресс,always,держать на экране всегда,center_progress,"нет, только детали можно в inspector"
WS-OPTIMIZATION,STATE-OP-005,Underfill/gate reason,conditional,показывать только при наличии состояния/конфликта,center_progress,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-OPTIMIZATION,STATE-OP-006,Текущий vs historical контракт,conditional,показывать только при наличии состояния/конфликта,top_strip,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-ANALYSIS,STATE-AN-001,Выбранный run,always,держать на экране всегда,top_strip,"нет, только детали можно в inspector"
WS-ANALYSIS,STATE-AN-002,Режим сравнения,always,держать на экране всегда,center_compare_header,"нет, только детали можно в inspector"
WS-ANALYSIS,STATE-AN-003,Mismatch dimensions,conditional,показывать только при наличии состояния/конфликта,message_bar,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-ANALYSIS,STATE-AN-004,Единицы и basis,always,держать на экране всегда,plot_headers,"нет, только детали можно в inspector"
WS-ANIMATOR,STATE-AM-001,Truth-state анимации,always,держать на экране всегда,viewport_header,"нет, только детали можно в inspector"
WS-ANIMATOR,STATE-AM-002,Режим цилиндров,always,держать на экране всегда,viewport_overlay,"нет, только детали можно в inspector"
WS-ANIMATOR,STATE-AM-003,Playback context,always,держать на экране всегда,bottom_strip,"нет, только детали можно в inspector"
WS-ANIMATOR,STATE-AM-004,Current/historical mismatch,conditional,показывать только при наличии состояния/конфликта,message_bar,"нет, потому что конфликт должен быть виден до захода в inspector"
WS-ANIMATOR,STATE-AM-005,Follow/pointer freshness,conditional,показывать только при наличии состояния/конфликта,top_strip,"частично: summary снаружи, детали в inspector"
WS-DIAGNOSTICS,STATE-DG-001,Главная команда,always,держать на экране всегда,center_primary_action,"нет, только детали можно в inspector"
WS-DIAGNOSTICS,STATE-DG-002,Health summary,always,держать на экране всегда,center_summary,"нет, только детали можно в inspector"
WS-DIAGNOSTICS,STATE-DG-003,Свежесть bundle,always,держать на экране всегда,top_strip,"нет, только детали можно в inspector"
WS-DIAGNOSTICS,STATE-DG-004,Состав bundle,always,держать на экране всегда,center_contents,"нет, только детали можно в inspector"
WS-DIAGNOSTICS,STATE-DG-005,Отправка архива,conditional,показывать только при наличии состояния/конфликта,secondary_action,"нет, потому что конфликт должен быть виден до захода в inspector"
