workspace,layer,src,action,feedback,dst,notes
WS-PROJECT,optimized,tree_root,выбрать_узел_в_дереве,узел_дерева_подсвечен,WS-PROJECT_tree_entry,
WS-PROJECT,optimized,WS-PROJECT_tree_entry,открыть_рабочее_пространство,рабочее_пространство_открыто,WS-PROJECT_root,прямое открытие из дерева
WS-PROJECT,optimized,WS-PROJECT_root,перейти_к_задаче,задача_активна,WS-PROJECT_task_1,
WS-PROJECT,optimized,WS-PROJECT_task_1,перейти_к_задаче,задача_активна,WS-PROJECT_task_2,
WS-PROJECT,optimized,WS-PROJECT_task_2,перейти_к_задаче,задача_активна,WS-PROJECT_task_3,
WS-PROJECT,optimized,WS-PROJECT_task_3,перейти_к_задаче,задача_активна,WS-PROJECT_task_4,
WS-PROJECT,optimized,WS-PROJECT_task_1,запустить_проверку,результат_проверки_получен,WS-PROJECT_check_1,
WS-PROJECT,optimized,WS-PROJECT_task_2,запустить_проверку,результат_проверки_получен,WS-PROJECT_check_2,
WS-PROJECT,optimized,WS-PROJECT_task_3,запустить_проверку,результат_проверки_получен,WS-PROJECT_check_3,
WS-PROJECT,optimized,WS-PROJECT_task_4,запустить_проверку,результат_проверки_получен,WS-PROJECT_check_4,
WS-PROJECT,optimized,WS-PROJECT_check_1,,блокировка_показана,WS-PROJECT_block_1,
WS-PROJECT,optimized,WS-PROJECT_block_1,исправить_проблему,возврат_к_исправлению,WS-PROJECT_task_1,
WS-PROJECT,optimized,WS-PROJECT_check_2,,блокировка_показана,WS-PROJECT_block_2,
WS-PROJECT,optimized,WS-PROJECT_block_2,исправить_проблему,возврат_к_исправлению,WS-PROJECT_task_2,
WS-PROJECT,optimized,WS-PROJECT_check_3,,блокировка_показана,WS-PROJECT_block_3,
WS-PROJECT,optimized,WS-PROJECT_block_3,исправить_проблему,возврат_к_исправлению,WS-PROJECT_task_3,
WS-PROJECT,optimized,WS-PROJECT_task_1,,проект открыт,WS-PROJECT_feedback_1,
WS-PROJECT,optimized,WS-PROJECT_task_2,,последний проект восстановлен,WS-PROJECT_feedback_2,
WS-PROJECT,optimized,WS-PROJECT_task_3,,здоровье проекта норма,WS-PROJECT_feedback_3,
WS-PROJECT,optimized,WS-PROJECT_task_4,,следующее действие рекомендовано,WS-PROJECT_feedback_4,
WS-PROJECT,optimized,WS-PROJECT_task_4,,несовместимость объяснена,WS-PROJECT_feedback_5,
WS-PROJECT,optimized,WS-PROJECT_root,,проект сохранен,WS-PROJECT_msg_1,
WS-PROJECT,optimized,WS-PROJECT_root,,проект открыт с предупреждением,WS-PROJECT_msg_2,
WS-PROJECT,optimized,WS-PROJECT_root,,проект не может быть открыт,WS-PROJECT_msg_3,
WS-PROJECT,current,cur_project_home,клик_или_переход,видимая_реакция_частично_подтверждена,cur_project_summary,evidence-bound
WS-PROJECT,current,cur_project_summary,клик_или_переход,видимая_реакция_частично_подтверждена,cur_project_open,evidence-bound
WS-PROJECT,current,cur_project_open,клик_или_переход,видимая_реакция_частично_подтверждена,cur_project_recent,evidence-bound
WS-PROJECT,current,cur_project_recent,клик_или_переход,видимая_реакция_частично_подтверждена,cur_project_next_action,evidence-bound
