ACC_ID,REQ_ID,TITLE,PASS_CRITERIA,FAIL_CRITERIA,EVIDENCE_EXPECTED,STATUS,TEST_ID
ACC-001,REQ-001,Единый канонический реестр ключей и запрет runtime-алиасов,Для REQ-001 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-001 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-001
ACC-002,REQ-002,Проект является основной пользовательской сущностью и хранится в файле,Для REQ-002 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-002 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-002
ACC-003,REQ-003,Для каждого класса сущностей существует один source-of-truth,Для REQ-003 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-003 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-003
ACC-004,REQ-004,Графика обязана использовать truth-state solver_confirmed/source_data_confirmed/approximate_inferred_with_warning/unavailable,Для REQ-004 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-004 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-004
ACC-005,REQ-005,"При неполной геометрии допускается только честная approximate/degraded визуализация или unavailable, но не красивая ложь",Для REQ-005 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-005 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-005
ACC-006,REQ-006,Потеря существующей функциональности при web->desktop migration запрещена,Для REQ-006 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-006 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-006
ACC-007,REQ-007,Приложение проектируется как нативный Windows desktop shell на Qt6/PySide6,Для REQ-007 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-007 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-007
ACC-008,REQ-008,"Главное окно имеет верхнее меню, command search, левое дерево, центральную рабочую область, правый inspector и нижнюю status/progress strip",Для REQ-008 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-008 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-008
ACC-009,REQ-009,Docking/undocking/floating/auto-hide/second-monitor/restore-layout обязательны,Для REQ-009 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-009 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-009
ACC-010,REQ-010,"Клавиатурная доступность, видимый focus, F6 между крупными регионами и screen-reader compatibility обязательны",Для REQ-010 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-010 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-010
