node_id,scope,surface,kind,label_current,label_recommended,semantic_issue,severity,why_it_hurts,status,semantic_quality_score_1_5
TREE-WS-INPUTS,optimized_target,WS-INPUTS,tree_entry,Исходные данные,Исходные данные,none,low,Семантика понятна и не требует переписывания.,keep,5
CUR-IN-HOME-LAUNCH,current,WS-INPUTS,current_entry,Открыть редактор исходных данных,Открыть редактор исходных данных,none,low,Семантика понятна и не требует переписывания.,keep,5
CUR-IN-NUMERIC-ONLY,current,WS-INPUTS,current_surface,Числовое редактирование без достаточной графической обратной связи,Числовое редактирование без достаточной графической обратной связи,none,low,Семантика понятна и не требует переписывания.,keep,5
CUR-IN-C1C2-HIDDEN,current,WS-INPUTS,current_defect,"Неочевидно, что на угол выбраны две пружины","Неочевидно, что на угол выбраны две пружины",none,low,Семантика понятна и не требует переписывания.,keep,5
CUR-IN-LEVELING-HIDDEN,current,WS-INPUTS,current_defect,"Неочевидно, что включено выравнивание пружинами и как оно выполнено","Неочевидно, что включено выравнивание пружинами и как оно выполнено",none,low,Семантика понятна и не требует переписывания.,keep,5
CUR-IN-SYMMETRY-HIDDEN,current,WS-INPUTS,current_defect,Неочевидна зеркальная симметрия лево/право,Неочевидна зеркальная симметрия лево/право,none,low,Семантика понятна и не требует переписывания.,keep,5
CUR-IN-TWIN-PARTIAL,current,WS-INPUTS,current_defect,"Графический двойник либо слабый, либо не синхронизирован полностью","Графический двойник либо слабый, либо не синхронизирован полностью",none,low,Семантика понятна и не требует переписывания.,keep,5
CUR-IN-VALIDATE-SAVE,current,WS-INPUTS,current_action,Проверить и сохранить,Проверить и сохранить,none,low,Семантика понятна и не требует переписывания.,keep,5
TREE-WS-INPUTS,optimized,WS-INPUTS,tree_entry,Исходные данные,Исходные данные,none,low,Семантика понятна и не требует переписывания.,keep,5
ROOT-WS-INPUTS,optimized,WS-INPUTS,workspace,Исходные данные,Исходные данные,none,low,Семантика понятна и не требует переписывания.,keep,5
DOCK-TREE-WS-INPUTS,optimized,WS-INPUTS,dock,Левое дерево,Левое дерево,none,low,Семантика понятна и не требует переписывания.,keep,5
DOCK-INSPECTOR-WS-INPUTS,optimized,WS-INPUTS,dock,Правый inspector и help,Правый inspector и help,none,low,Семантика понятна и не требует переписывания.,keep,5
DOCK-STATUS-WS-INPUTS,optimized,WS-INPUTS,dock,Нижний статус и прогресс,Нижний статус и прогресс,none,low,Семантика понятна и не требует переписывания.,keep,5
PROJECT-SCR-01,optimized,WS-INPUTS,screen,Панель проекта — обзор,Панель проекта — обзор,none,low,Семантика понятна и не требует переписывания.,keep,5
PROJECT-SCR-02,optimized,WS-INPUTS,screen,Панель проекта — recent и открытие,Панель проекта — recent и открытие,none,low,Семантика понятна и не требует переписывания.,keep,5
PROJECT-SCR-03,optimized,WS-INPUTS,screen,Панель проекта — блокеры и next action,Панель проекта — блокеры и next action,none,low,Семантика понятна и не требует переписывания.,keep,5
INPUTS-SCR-01,optimized,WS-INPUTS,screen,Исходные данные — обзор групп,Исходные данные — обзор групп,none,low,Семантика понятна и не требует переписывания.,keep,5
INPUTS-SCR-02,optimized,WS-INPUTS,screen,Исходные данные — геометрия и рама,Исходные данные — геометрия и рама,none,low,Семантика понятна и не требует переписывания.,keep,5
INPUTS-SCR-03,optimized,WS-INPUTS,screen,Исходные данные — массы и пружины,Исходные данные — массы и пружины,none,low,Семантика понятна и не требует переписывания.,keep,5
INPUTS-SCR-04,optimized,WS-INPUTS,screen,Исходные данные — цилиндры и пневматика,Исходные данные — цилиндры и пневматика,none,low,Семантика понятна и не требует переписывания.,keep,5
INPUTS-SCR-05,optimized,WS-INPUTS,screen,Исходные данные — численные параметры и режимы,Исходные данные — численные параметры и режимы,none,low,Семантика понятна и не требует переписывания.,keep,5
INPUTS-SCR-06,optimized,WS-INPUTS,screen,Исходные данные — validation и handoff,Исходные данные — validation и handoff,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-ACTIONS,optimized,WS-INPUTS,region,IN-ACTIONS,IN-ACTIONS,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-FORM,optimized,WS-INPUTS,region,IN-FORM,IN-FORM,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-GROUPS,optimized,WS-INPUTS,region,IN-GROUPS,IN-GROUPS,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-HEADER,optimized,WS-INPUTS,region,IN-HEADER,IN-HEADER,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-TWIN,optimized,WS-INPUTS,region,IN-TWIN,IN-TWIN,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-VALID,optimized,WS-INPUTS,region,IN-VALID,IN-VALID,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-ACTION,optimized,WS-INPUTS,region,PR-ACTION,PR-ACTION,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-FOOTER,optimized,WS-INPUTS,region,PR-FOOTER,PR-FOOTER,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-HEADER,optimized,WS-INPUTS,region,PR-HEADER,PR-HEADER,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-RECENT,optimized,WS-INPUTS,region,PR-RECENT,PR-RECENT,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-RUNS,optimized,WS-INPUTS,region,PR-RUNS,PR-RUNS,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-STATUS,optimized,WS-INPUTS,region,PR-STATUS,PR-STATUS,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-TXT-TITLE,optimized,WS-INPUTS,title_text,Рабочее пространство «Панель проекта»,Рабочее пространство «Панель проекта»,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BADGE-PROJECT-ID,optimized,WS-INPUTS,badge,Идентификатор проекта,Идентификатор проекта,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BADGE-DIRTY,optimized,WS-INPUTS,status_badge,Индикатор несохранённых изменений,Индикатор несохранённых изменений,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BADGE-HEALTH,optimized,WS-INPUTS,status_badge,Сводный статус проекта,Сводный статус проекта,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-TXT-LAST-SAVE,optimized,WS-INPUTS,caption,Последнее сохранение,Последнее сохранение,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-CARD-NEXT-ACTION,optimized,WS-INPUTS,action_card,Карточка следующего действия,Карточка следующего действия,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BTN-NEXT-ACTION,optimized,WS-INPUTS,primary_button,Выполнить следующее действие,Выполнить следующее действие,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BTN-GO-INPUTS,optimized,WS-INPUTS,secondary_button,Перейти к исходным данным,Перейти к исходным данным,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-CARD-PIPELINE,optimized,WS-INPUTS,diagram_card,Карта pipeline,Карта pipeline,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BTN-GO-RING,optimized,WS-INPUTS,ghost_button,Открыть редактор кольца,Открыть редактор кольца,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BTN-GO-SUITE,optimized,WS-INPUTS,ghost_button,Открыть матрицу испытаний,Открыть матрицу испытаний,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BTN-GO-BASELINE,optimized,WS-INPUTS,ghost_button,Открыть базовый прогон,Открыть базовый прогон,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BTN-GO-OPT,optimized,WS-INPUTS,ghost_button,Открыть оптимизацию,Открыть оптимизацию,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BTN-GO-DIAG,optimized,WS-INPUTS,ghost_button,Открыть диагностику,Открыть диагностику,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-TABLE-BLOCKERS,optimized,WS-INPUTS,data_table,Таблица блокеров,Таблица блокеров,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-TABLE-WARNINGS,optimized,WS-INPUTS,data_table,Таблица предупреждений,Таблица предупреждений,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-CARD-RING-STATUS,optimized,WS-INPUTS,status_card,Карточка статуса кольца,Карточка статуса кольца,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-CARD-SUITE-STATUS,optimized,WS-INPUTS,status_card,Карточка статуса набора испытаний,Карточка статуса набора испытаний,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-CARD-BASELINE-STATUS,optimized,WS-INPUTS,status_card,Карточка статуса baseline,Карточка статуса базовый прогон,mixed_language,medium,В пользовательском слое предпочесть «базовый прогон».,rewrite,3
PR-CARD-DIAG-STATUS,optimized,WS-INPUTS,status_card,Карточка статуса диагностики,Карточка статуса диагностики,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-TABLE-RECENT-PROJECTS,optimized,WS-INPUTS,data_table,Таблица недавних проектов,Таблица недавних проектов,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BTN-OPEN-PROJECT,optimized,WS-INPUTS,secondary_button,Открыть выбранный проект,Открыть выбранный проект,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BTN-CREATE-PROJECT,optimized,WS-INPUTS,secondary_button,Создать новый проект,Создать новый проект,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BTN-IMPORT-PROJECT,optimized,WS-INPUTS,secondary_button,Импортировать проект,Импортировать проект,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-TABLE-RECENT-RUNS,optimized,WS-INPUTS,data_table,Таблица недавних прогонов,Таблица недавних прогонов,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-TABLE-RECENT-BUNDLES,optimized,WS-INPUTS,data_table,Таблица последних архивов диагностики,Таблица последних архивов диагностики,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-BTN-OPEN-BUNDLE,optimized,WS-INPUTS,secondary_button,Открыть выбранный архив диагностики,Открыть выбранный архив диагностики,none,low,Семантика понятна и не требует переписывания.,keep,5
PR-HELP-ANCHOR,optimized,WS-INPUTS,help_anchor,Контекстная справка панели проекта,Контекстная справка панели проекта,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-TXT-TITLE,optimized,WS-INPUTS,title_text,Рабочее пространство «Исходные данные»,Рабочее пространство «Исходные данные»,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BADGE-DIRTY,optimized,WS-INPUTS,status_badge,Несохранённые изменения,Несохранённые изменения,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BADGE-UNIT-PROFILE,optimized,WS-INPUTS,badge,Профиль единиц,Профиль единиц,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BADGE-MIRROR-MODE,optimized,WS-INPUTS,badge,Режим зеркальности,Режим зеркальности,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-STATUS-HANDOFF-READINESS,optimized,WS-INPUTS,status_badge,Индикатор готовности handoff,Индикатор готовности handoff,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-TXT-UNSAVED-COUNT,optimized,WS-INPUTS,caption,Количество несохранённых полей,Количество несохранённых полей,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-TABS-GROUPS,optimized,WS-INPUTS,tab_strip,Вкладки групп исходных данных,Вкладки групп исходных данных,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-TREE-GROUPS,optimized,WS-INPUTS,tree,Дерево групп исходных данных,Дерево групп исходных данных,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-EXPAND-ALL,optimized,WS-INPUTS,ghost_button,Развернуть все группы,Развернуть все группы,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-COLLAPSE-ALL,optimized,WS-INPUTS,ghost_button,Свернуть все группы,Свернуть все группы,none,low,Семантика понятна и не требует переписывания.,keep,5
