ID,TYPE,PRIMARY_FILE,TITLE,LINKS,STATUS
REQ-001,REQ,REQUIREMENTS_MATRIX.csv,Единый канонический реестр ключей и запрет runtime-алиасов,ACC-001;TST-001,covered
REQ-002,REQ,REQUIREMENTS_MATRIX.csv,Проект является основной пользовательской сущностью и хранится в файле,ACC-002;TST-002,covered
REQ-003,REQ,REQUIREMENTS_MATRIX.csv,Для каждого класса сущностей существует один source-of-truth,ACC-003;TST-003,covered
REQ-004,REQ,REQUIREMENTS_MATRIX.csv,Графика обязана использовать truth-state solver_confirmed/source_data_confirmed/approximate_inferred_with_warning/unavailable,ACC-004;TST-004,covered
REQ-005,REQ,REQUIREMENTS_MATRIX.csv,"При неполной геометрии допускается только честная approximate/degraded визуализация или unavailable, но не красивая ложь",ACC-005;TST-005,covered
REQ-006,REQ,REQUIREMENTS_MATRIX.csv,Потеря существующей функциональности при web->desktop migration запрещена,ACC-006;TST-006,covered
REQ-007,REQ,REQUIREMENTS_MATRIX.csv,Приложение проектируется как нативный Windows desktop shell на Qt6/PySide6,ACC-007;TST-007,covered
REQ-008,REQ,REQUIREMENTS_MATRIX.csv,"Главное окно имеет верхнее меню, command search, левое дерево, центральную рабочую область, правый inspector и нижнюю status/progress strip",ACC-008;TST-008,covered
REQ-009,REQ,REQUIREMENTS_MATRIX.csv,Docking/undocking/floating/auto-hide/second-monitor/restore-layout обязательны,ACC-009;TST-009,covered
REQ-010,REQ,REQUIREMENTS_MATRIX.csv,"Клавиатурная доступность, видимый focus, F6 между крупными регионами и screen-reader compatibility обязательны",ACC-010;TST-010,covered
REQ-011,REQ,REQUIREMENTS_MATRIX.csv,"High DPI, mixed-DPI и Windows snap semantics обязательны",ACC-011;TST-011,covered
REQ-012,REQ,REQUIREMENTS_MATRIX.csv,"Глобальный поиск команд, экранов, сущностей и артефактов обязателен",ACC-012;TST-012,covered
