artifact_id,file_name,branch_kind,preservation_status,copied_to,size_bytes,sha256,comment
V1,pneumo_gui_codex_package_v1.zip,дизайн,исторический,preserved_outputs/pneumo_gui_codex_package_v1.zip,21418,8be9f48b2935f07a6957c1698a58364369c6412ea16a262deeabf3e5884c7283,"Начальный машиночитаемый граф и базовая спецификация GUI. Полезен как стартовая точка lineage, но не как текущая каноническая база."
V2,pneumo_gui_codex_package_v2.zip,дизайн,исторический,preserved_outputs/pneumo_gui_codex_package_v2.zip,169875,db6bbc9253b491fca96f3470238ca7d60c3c67d8606bccfd5341121841ca66de,Сильное расширение детализации GUI. Полезен для истории наращивания структуры экранов.
V3,pneumo_gui_codex_package_v3.zip,дизайн,исторический,preserved_outputs/pneumo_gui_codex_package_v3.zip,213673,877acc791198a3ae0a6f34873504e3db15580e8d39f2aea345dff4abcfcf384e,"Уточнение каталогов состояний, keyboard/docking/observability."
V4,pneumo_gui_codex_package_v4.zip,дизайн,исторический,preserved_outputs/pneumo_gui_codex_package_v4.zip,324919,034670b2ca83fd0fe80c8c0ca3e2be7204de8a7b49890cdf3a5513ae728b45c4,"Ультра-детализация экранов, графов, сценариев и тестов."
V5,pneumo_gui_codex_package_v5.zip,дизайн,канонический,preserved_outputs/pneumo_gui_codex_package_v5.zip,674812,a1a4e65e5621288e99a4b80d4ee7d8550beb13caac20481a4a399072536fbf98,Последний чистый design-first master package до ухода в implementation-ветку. Текущая базовая каноническая опора для продолжения проектирования.
V6,pneumo_gui_codex_package_v6_impl.zip,implementation,архивированный,preserved_outputs/pneumo_gui_codex_package_v6_impl.zip,49249,d1d05e31a28aa75d3e6d1aebc1ec9226cb581fd2a2e5664e0b1645df6bdbec12,"Переход в implementation planning. Полезен как downstream scaffold для Codex после freeze дизайна, но не как основной ответ на исходную задачу."
V7,pneumo_gui_codex_package_v7_bootstrap.zip,implementation,архивированный,preserved_outputs/pneumo_gui_codex_package_v7_bootstrap.zip,57681,ea3e8528dfa455cd66e61e74b52e71668d3e062e5c6f7cc2cc1b1a389d7a2f97,Bootstrap source skeleton. Сохраняется как побочная кодовая ветка.
V8,pneumo_gui_codex_package_v8_fillin.zip,implementation,архивированный,preserved_outputs/pneumo_gui_codex_package_v8_fillin.zip,101899,2c98afaf74d3ed2a00e9b6bf1b8f596e2c7ffc7827846a2d2a16b1d1f361a1c7,Workspace fill-in scaffold. Использовать только после явного решения перейти к коду.
V9,pneumo_gui_codex_package_v9_interactions.zip,implementation,архивированный,preserved_outputs/pneumo_gui_codex_package_v9_interactions.zip,300883,8fef4a74ba87ee640d2470abe6733fbec38aecb72bc050d04de9ec2107c353e5,Interaction scaffold. Не считать каноном GUI-проектирования.
V10,pneumo_gui_codex_package_v10_backend_adapters.zip,implementation,архивированный,preserved_outputs/pneumo_gui_codex_package_v10_backend_adapters.zip,113153,7b0fc9834a9fc813a3db98aedc1e8d57ad6f6ac4902f7cbcdfa78476bba60799,Backend adapter pass. Сохраняется как reference для позднего implementation-phase.
V11,pneumo_gui_codex_package_v11_execution_wiring.zip,implementation,архивированный,preserved_outputs/pneumo_gui_codex_package_v11_execution_wiring.zip,402203,dcb7cd38f7e31e291716dfd0474944432b7e7da09932a3259ae7b65923cfaefe,"Execution wiring pass. Полезен как reference при будущей wiring-реализации, но не как первичный дизайн-артефакт."
PROMPT_V1,prompt_gui_windows_cad_pneumo_augmented_2026-04-13.md,дизайн_prompt,опорный,preserved_outputs/prompt_gui_windows_cad_pneumo_augmented_2026-04-13.md,28839,79761f344d37aabf302c98fcdbe7f1444a4d6d894d2016f8ac3b337161269b7e,Ранняя цельная формулировка требований к desktop GUI проекта.
PROMPT_V2,prompt_gui_windows_cad_pneumo_augmented_v2_2026-04-13.md,дизайн_prompt,канонический,preserved_outputs/prompt_gui_windows_cad_pneumo_augmented_v2_2026-04-13.md,55098,a5c4abad92c82ee125438d78f42a77036d58ef4472de11bdf04fd1d674e5e3bb,Усиленный промт под проект; вместе с V5 образует основную design-first пару для продолжения работ.
PROJECT_CONTEXT,Прогрев контекста проекта.txt,reference_input,опорный,reference_inputs/Прогрев контекста проекта.txt,6799,b2614c9531ed62810e254541459d4951580f64d20539cbaefe86946cf97dfdb5,Краткий проектный контекст.
PROJECT_RELEASE,Проектный релиз.txt,reference_input,опорный,reference_inputs/Проектный релиз.txt,6061,56c4801c96760af6f1a0291a42af6b30ace6e0f81c68cc2632b7caf0bf8b832b,Срез по релизной и runtime-ветке проекта.
PROJECT_DEV,Разработка софта для подвески.txt,reference_input,опорный,reference_inputs/Разработка софта для подвески.txt,4528,bcb9579bbc447d8d936e565089a98f3b5cfcb6672d8375ccaa0f53c59e9a56c1,Сводка по разработческой ветке и следующим техническим шагам.
DEEP_RESEARCH,deep-research-report (5).md,reference_input,опорный,reference_inputs/deep-research-report (5).md,61507,9cc1f35d3c19631c28a2cdd2d07f8c25949ee8fc72f293a1a2679ce6ea501dd7,Исследование по Windows desktop/CAD best practices и проектным ограничениям.
