node_id,label,workspace,node_type,layer,provenance,group,status
shell_root,Главное окно,SHELL,shell,optimized,canonical_prompt,shell,covered
tree_root,Левое дерево навигации,SHELL,dock_widget,optimized,canonical_prompt,shell,covered
inspector_root,Правая панель свойств и помощи,SHELL,dock_widget,optimized,canonical_prompt,shell,covered
status_root,Нижняя строка состояния,SHELL,dock_widget,optimized,canonical_prompt,shell,covered
command_search,Поиск команд,SHELL,shell_control,optimized,canonical_prompt,shell,covered
diag_main_action,Собрать диагностику,SHELL,shell_action,optimized,canonical_prompt,shell,covered
cur_shell_home,Главная поверхность,SHELL,current_screen,current,live_repo_evidence,shell,covered_partially
cur_shell_window_grid,Сетка отдельных окон,SHELL,current_panel,current,live_repo_evidence,shell,covered_partially
cur_shell_opt_page,Страница оптимизации,SHELL,current_screen,current,live_repo_evidence,shell,covered_partially
cur_shell_diag_btn,GUI диагностики,SHELL,current_launchpoint,current,live_repo_evidence,shell,covered_partially
cur_shell_send_btn,GUI отправки результатов,SHELL,current_launchpoint,current,live_repo_evidence,shell,covered_partially
cur_shell_compare_btn,Compare Viewer,SHELL,current_launchpoint,current,live_repo_evidence,shell,covered_partially
cur_shell_anim_btn,Desktop Animator,SHELL,current_launchpoint,current,live_repo_evidence,shell,covered_partially
WS-PROJECT_root,Панель проекта,WS-PROJECT,workspace_root,optimized,canonical_prompt,workspace,covered
WS-PROJECT_tree_entry,Дерево: Панель проекта,WS-PROJECT,tree_entry,optimized,canonical_prompt,tree,covered
WS-PROJECT_container_левое_дерево,левое дерево,WS-PROJECT,container,optimized,canonical_prompt,container,covered
WS-PROJECT_container_центральная_карточка,центральная карточка,WS-PROJECT,container,optimized,canonical_prompt,container,covered
WS-PROJECT_container_правая_панель_свойств,правая панель свойств,WS-PROJECT,container,optimized,canonical_prompt,container,covered
WS-PROJECT_container_нижняя_строка_состояния,нижняя строка состояния,WS-PROJECT,container,optimized,canonical_prompt,container,covered
WS-PROJECT_task_1,открыть или создать проект,WS-PROJECT,task,optimized,canonical_prompt,task,covered
WS-PROJECT_task_2,проверить здоровье проекта,WS-PROJECT,task,optimized,canonical_prompt,task,covered
WS-PROJECT_task_3,восстановить последний проект,WS-PROJECT,task,optimized,canonical_prompt,task,covered
WS-PROJECT_task_4,выбрать следующий шаг,WS-PROJECT,task,optimized,canonical_prompt,task,covered
WS-PROJECT_check_1,путь проекта доступен,WS-PROJECT,check,optimized,canonical_prompt,check,covered
WS-PROJECT_check_2,workspace доступен для записи,WS-PROJECT,check,optimized,canonical_prompt,check,covered
WS-PROJECT_check_3,версия совместима,WS-PROJECT,check,optimized,canonical_prompt,check,covered
WS-PROJECT_check_4,история проекта не повреждена,WS-PROJECT,check,optimized,canonical_prompt,check,covered
WS-PROJECT_block_1,путь недоступен,WS-PROJECT,block,optimized,canonical_prompt,block,covered
WS-PROJECT_block_2,проект поврежден,WS-PROJECT,block,optimized,canonical_prompt,block,covered
WS-PROJECT_block_3,несовместимая версия,WS-PROJECT,block,optimized,canonical_prompt,block,covered
WS-PROJECT_feedback_1,проект открыт,WS-PROJECT,feedback,optimized,canonical_prompt,feedback,covered
WS-PROJECT_feedback_2,последний проект восстановлен,WS-PROJECT,feedback,optimized,canonical_prompt,feedback,covered
WS-PROJECT_feedback_3,здоровье проекта норма,WS-PROJECT,feedback,optimized,canonical_prompt,feedback,covered
WS-PROJECT_feedback_4,следующее действие рекомендовано,WS-PROJECT,feedback,optimized,canonical_prompt,feedback,covered
WS-PROJECT_feedback_5,несовместимость объяснена,WS-PROJECT,feedback,optimized,canonical_prompt,feedback,covered
WS-PROJECT_ctl_1,кнопка создать проект,WS-PROJECT,control,optimized,canonical_prompt,control,covered
WS-PROJECT_ctl_2,кнопка открыть проект,WS-PROJECT,control,optimized,canonical_prompt,control,covered
WS-PROJECT_ctl_3,кнопка последний проект,WS-PROJECT,control,optimized,canonical_prompt,control,covered
WS-PROJECT_ctl_4,кнопка перейти к исходным данным,WS-PROJECT,control,optimized,canonical_prompt,control,covered
